"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison","contrast","direction","human_symbol","mouse_entrez","human_entrez","mouse_ensembl","human_ensembl","ortholog_support_n","ortholog_support_sources"
"Eda2r",1633.33027835905,-2.24470118224505,0.242362800835734,-9.26173973276715,2.01127952767938e-20,1.56276419300688e-17,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","EDA2R",245527,60401,"ENSMUSG00000034457","ENSG00000131080",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Atp6v1a",1034.91301984953,-0.865236232867139,0.0943414582658795,-9.17132561623833,4.67237438233972e-20,3.44891315032407e-17,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ATP6V1A",11964,523,"ENSMUSG00000052459","ENSG00000114573",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cyp3a41a",391.602580243716,-26.4421835609029,2.94713832457767,-8.97215557898598,2.9076732844923e-19,1.95118094086181e-16,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CYP3A5",53973,1577,"ENSMUSG00000075551","ENSG00000106258",7,"Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Ostn",1972.92175508165,-3.817746044025,0.431576849370381,-8.84603993377921,9.06798198998697e-19,5.82046165731207e-16,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","OSTN",239790,344901,"ENSMUSG00000052276","ENSG00000188729",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Cpne2",359.133515457946,-2.53334847461859,0.286813730790874,-8.83273080278622,1.02150657461064e-18,6.28354231707371e-16,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CPNE2",234577,221184,"ENSMUSG00000034361","ENSG00000140848",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Pkp2",112.065574588353,-1.47110605243697,0.169344951453175,-8.6870381420478,3.72011251766165e-18,2.19680084392956e-15,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PKP2",67451,5318,"ENSMUSG00000041957","ENSG00000057294",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Chrna9",30.579245495329,-4.40068263597138,0.517493434048252,-8.50384245756643,1.8341640672948e-17,9.3371600432666e-15,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CHRNA9",231252,55584,"ENSMUSG00000029205","ENSG00000174343",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Syt9",55.362395913277,-2.79072342698719,0.329004159197626,-8.48233479416551,2.20719373163832e-17,1.08616003533922e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SYT9",60510,143425,"ENSMUSG00000062542","ENSG00000170743",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Wls",780.272533866423,-0.53904037793532,0.0641003964140782,-8.4093142646608,4.12414740076183e-17,1.96402542185313e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","WLS",68151,79971,"ENSMUSG00000028173","ENSG00000116729",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Fat3",68.3206051397932,-2.00528577945494,0.240440227608593,-8.34005939604786,7.42532281275605e-17,3.32181941468841e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","FAT3",270120,120114,"ENSMUSG00000074505","ENSG00000165323",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Actr3b",100.162054968398,-2.07148637712355,0.249176851254995,-8.31331789727005,9.3062782168129e-17,4.0408407445532e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ACTR3B",242894,57180,"ENSMUSG00000056367","ENSG00000133627",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Aif1l",258.13113573768,-2.59098321656701,0.312480635022065,-8.29166011002268,1.11678673134667e-16,4.71060643282025e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","AIF1L",108897,83543,"ENSMUSG00000001864","ENSG00000126878",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Hn1",875.44617375528,-0.985515160384898,0.119210283089832,-8.26703145769942,1.37335733170151e-16,5.63190952441928e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Lonp2",2097.18662846152,-0.491929613278985,0.0596584907006098,-8.2457602849473,1.64113377133269e-16,6.54812374761745e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","LONP2",66887,83752,"ENSMUSG00000047866","ENSG00000102910",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Serpina3n",182.533539449714,-3.00193040586027,0.36436221248894,-8.2388631503641,1.7385465721178e-16,6.75425343267765e-14,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SERPINA3",20716,12,"ENSMUSG00000021091","ENSG00000196136",9,"Ensembl|HGNC|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cyp3a41b",92.8699667128693,-24.4710272216185,2.99519481950041,-8.17009533480036,3.08145853045866e-16,1.13728930712903e-13,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CYP3A5",100041375,1577,"ENSMUSG00000075552","ENSG00000106258",6,"Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Treefam"
"Cxcl10",61.8725363723456,-3.34124356542637,0.410780833377556,-8.13388379870046,4.1575108551759e-16,1.49700811597468e-13,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CXCL10",15945,3627,"ENSMUSG00000034855","ENSG00000169245",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Prr32",22.5498378937187,-3.34217909782445,0.418379176842164,-7.98839732667983,1.36704250479114e-15,4.69340662749573e-13,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PRR32",68800,100130613,"ENSMUSG00000037086","ENSG00000183631",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Alb",4890.31074612559,-9.22361036259086,1.15543098924696,-7.98283103744888,1.43014610156351e-15,4.79846520395049e-13,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ALB",11657,213,"ENSMUSG00000029368","ENSG00000163631",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Crem",376.57706799495,-0.831463579855142,0.104803234056123,-7.93356796041129,2.12937950849391e-15,6.98578437419903e-13,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CREM",12916,1390,"ENSMUSG00000063889","ENSG00000095794",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cfi",54.7863711411418,-23.7362764880001,2.99539016246914,-7.92426869307535,2.29492907608048e-15,7.36522564134263e-13,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CFI",12630,3426,"ENSMUSG00000058952","ENSG00000205403",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Zfp52",260.876427251334,-1.28168021880549,0.162928478996292,-7.86652049231164,3.64641019223665e-15,1.12149903474978e-12,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Atp6ap2",739.251054592542,-0.733770352820714,0.0934757051312329,-7.84985095100973,4.16531999392091e-15,1.25495140959703e-12,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ATP6AP2",70495,10159,"ENSMUSG00000031007","ENSG00000182220",11,"EggNOG|Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Anxa4",492.697079834816,-1.17021149307632,0.149219459318518,-7.84221775377454,4.42657875154863e-15,1.30699164218225e-12,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ANXA4",11746,307,"ENSMUSG00000029994","ENSG00000196975",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Apcs",40.8401772461827,-23.3268766371285,2.99555282614798,-7.7871691774252,6.85271698774492e-15,1.94551270942458e-12,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","APCS",20219,325,"ENSMUSG00000026542","ENSG00000132703",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Saa4",36.017492001879,-23.1511052124799,2.99563837162157,-7.72827101955831,1.09017059773225e-14,2.92621609714932e-12,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SAA4",20211,6291,"ENSMUSG00000040017","ENSG00000148965",8,"Ensembl|HGNC|Inparanoid|NCBI|OMA|OrthoMCL|PhylomeDB|Treefam"
"Ctxn3",708.291984051738,-1.20985161840397,0.156824870855401,-7.71466676047514,1.21298741591005e-14,3.19773807519286e-12,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CTXN3",629147,613212,"ENSMUSG00000069372","ENSG00000205279",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tead4",118.559628491412,-1.29192916034762,0.169207728684732,-7.63516637443167,2.25528993802291e-14,5.64319412797156e-12,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TEAD4",21679,7004,"ENSMUSG00000030353","ENSG00000197905",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Arpp19",1754.35491263814,-0.670022355154804,0.0887940400726165,-7.54580323867294,4.4950828058712e-14,1.08788372890289e-11,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ARPP19",59046,10776,"ENSMUSG00000007656","ENSG00000128989",9,"EggNOG|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|Treefam"
"Tubb5",837.060217940238,-0.46598730950422,0.0619410010129829,-7.52308328705487,5.34993186858738e-14,1.2738878092896e-11,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TUBB",22154,203068,"ENSMUSG00000001525","ENSG00000196230",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gca",187.957981521636,-0.94781567780361,0.127919579747727,-7.40946522551759,1.26809720894202e-13,2.92514360868922e-11,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","GCA",227960,25801,"ENSMUSG00000026893","ENSG00000115271",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gm5091",35.7304349747849,-1.7836411229086,0.241238015393722,-7.39369837708842,1.42800140057087e-13,3.2433207194812e-11,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Smpx",6638.99976836152,-0.94290198365343,0.128461270807632,-7.33997085444845,2.13640372504065e-13,4.77874669587501e-11,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SMPX",66106,23676,"ENSMUSG00000041476","ENSG00000091482",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ppap2a",959.760061218629,-0.631303069359579,0.0862957684346486,-7.31557387819847,2.56283731438777e-13,5.64703989138905e-11,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Cdkl2",268.899241045293,-0.870714985387563,0.119339162663376,-7.29613788093704,2.96145425225761e-13,6.42940428324692e-11,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CDKL2",53886,8999,"ENSMUSG00000029403","ENSG00000138769",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Anxa7",1815.71510185718,-0.723333777809053,0.100341787626422,-7.20869933573503,5.64888336359539e-13,1.20861543618491e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ANXA7",11750,310,"ENSMUSG00000021814","ENSG00000138279",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Acot9",791.951747069681,-0.667383289607697,0.0929187526685974,-7.18243917875196,6.84785286764059e-13,1.42387115330955e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ACOT9",56360,23597,"ENSMUSG00000025287","ENSG00000123130",10,"Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tsc22d3",5405.6741547356,-0.799218076211616,0.111680509930177,-7.15628964007495,8.28899164335197e-13,1.69958866153896e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TSC22D3",14605,1831,"ENSMUSG00000031431","ENSG00000157514",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Erbb2ip",2256.01523073703,-0.671824155282302,0.0944005568226174,-7.11673932755172,1.10510206211782e-12,2.23487969082814e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Musk",277.239533874223,-1.98593295992138,0.286266675381136,-6.93735293246169,3.99514870513951e-12,7.47847371375112e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","MUSK",18198,4593,"ENSMUSG00000057280","ENSG00000030304",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Tax1bp1",3033.71427593413,-0.370635091095153,0.0534472950163674,-6.93459025347592,4.07400243621934e-12,7.51806224573826e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TAX1BP1",52440,8887,"ENSMUSG00000004535","ENSG00000106052",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"4933415F23Rik",22.2785592616851,-4.5215170214382,0.654581841861824,-6.90748922789804,4.93306402353212e-12,8.99096594807466e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Neto2",150.34943267707,-1.36859917471166,0.198399437705498,-6.89820087465769,5.26652432528087e-12,9.36743356796645e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","NETO2",74513,81831,"ENSMUSG00000036902","ENSG00000171208",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Ctnna1",1999.60510074698,-0.481837791911002,0.0699233929790361,-6.89093837387814,5.54255475353953e-12,9.74103997934572e-10,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CTNNA1",12385,1495,"ENSMUSG00000037815","ENSG00000044115",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Lpin2",140.530936514057,-1.47478957978896,0.216206574715441,-6.82120597733904,9.02793873231086e-12,1.54976115703611e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","LPIN2",64898,9663,"ENSMUSG00000024052","ENSG00000101577",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Ninj1",213.012095399599,-0.754857321817606,0.111306933103521,-6.78176372998754,1.18717516354022e-11,1.9916212431073e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","NINJ1",18081,4814,"ENSMUSG00000037966","ENSG00000131669",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Rhoc",603.685594457825,-0.868771693981906,0.128490442565095,-6.76137210393507,1.36690952072244e-11,2.26738036566577e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RHOC",11853,389,"ENSMUSG00000002233","ENSG00000155366",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam"
"Rps6ka5",367.958102568702,-0.534296342191473,0.0792368593915312,-6.7430277562033,1.55119560999507e-11,2.54447786559525e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RPS6KA5",73086,9252,"ENSMUSG00000021180","ENSG00000100784",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Mt2",206.203035826821,-3.88569020181985,0.577448605570761,-6.72906673309767,1.70754734144884e-11,2.74005667410969e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","MT2A",17750,4502,"ENSMUSG00000031762","ENSG00000125148",4,"HGNC|NCBI|OMA|Panther"
"Mpzl3",152.303667106361,-1.21557571982961,0.181330377716997,-6.70365183778946,2.0327426279243e-11,3.22681499097273e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","MPZL3",319742,196264,"ENSMUSG00000070305","ENSG00000160588",10,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther"
"Myl12a",3923.54132132494,-1.20581747929787,0.181773278361437,-6.63363443828209,3.27520390118296e-11,4.93386073399634e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","MYL12A",67268,10627,"ENSMUSG00000024048","ENSG00000101608",6,"EggNOG|Ensembl|HGNC|OMA|OrthoDB|Treefam"
"Atg4a",1229.85977208426,-0.675853732399894,0.102105935360939,-6.61914246229452,3.61288545136575e-11,5.33370279185125e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ATG4A",666468,115201,"ENSMUSG00000079418","ENSG00000101844",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Lrat",14.0832507512044,-2.73806806000993,0.413889175954107,-6.61546186536062,3.70393463207174e-11,5.41397890824506e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","LRAT",79235,9227,"ENSMUSG00000028003","ENSG00000121207",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ccndbp1",806.844926467013,-0.663493518293222,0.100337384746074,-6.61262519421194,3.77563560586002e-11,5.41475442026224e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CCNDBP1",17151,23582,"ENSMUSG00000023572","ENSG00000166946",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Myf6",2399.71939134032,-0.910439209253076,0.137683744651247,-6.61253956710153,3.77782093942296e-11,5.41475442026224e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","MYF6",17878,4618,"ENSMUSG00000035923","ENSG00000111046",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ctnna3",272.646908908929,-0.814993069249402,0.123882068920075,-6.57878154888752,4.74319030095599e-11,6.73304984740512e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CTNNA3",216033,29119,"ENSMUSG00000060843","ENSG00000183230",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cacna1i",38.1384810588544,-3.28283529115199,0.50024350977721,-6.56247452888302,5.29220827164812e-11,7.36346728326284e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CACNA1I",239556,8911,"ENSMUSG00000022416","ENSG00000100346",10,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Treefam"
"Tekt1",35.4375320410407,-1.85903615612813,0.285014368595839,-6.5226050366756,6.90966418296648e-11,9.29062213689707e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TEKT1",21689,83659,"ENSMUSG00000020799","ENSG00000167858",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Lgals1",3514.26833750672,-0.931375405143562,0.14281513841553,-6.52154537310789,6.95866640248389e-11,9.29062213689707e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","LGALS1",16852,3956,"ENSMUSG00000068220","ENSG00000100097",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ankrd32",511.925846103457,-0.937709188342137,0.143799041105363,-6.52096968890822,6.9854301781181e-11,9.29062213689707e-09,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Gdi2",3381.65457159729,-0.3325054226012,0.0511545829849102,-6.50001237815356,8.0313403106698e-11,1.05863104470016e-08,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","GDI2",14569,2665,"ENSMUSG00000021218","ENSG00000057608",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gm830",50.9422802981775,-2.62597025584523,0.404977863761354,-6.48423158603222,8.91851436338109e-11,1.1651683853681e-08,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Slc37a2",63.9115175404478,-1.36908217019621,0.211630725472167,-6.46920321773535,9.85210257931628e-11,1.27584728402146e-08,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SLC37A2",56857,219855,"ENSMUSG00000032122","ENSG00000134955",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
