"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison","direction","human_symbol","mouse_entrez","human_entrez","mouse_ensembl","human_ensembl","ortholog_support_n","ortholog_support_sources"
"Armc6",175.577748202905,-0.330592540322683,0.116266278100187,-2.84340864543554,0.00446338027516973,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","ARMC6",76813,93436,"ENSMUSG00000002343","ENSG00000105676",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Hoxa10",355.990877790794,-0.334438514244374,0.119059052059225,-2.80901374956363,0.00496935242024617,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","HOXA10",15395,3206,"ENSMUSG00000000938","ENSG00000253293",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Msi2",3786.40330638069,-0.185488929565356,0.066165180125664,-2.80342212041238,0.00505634423390026,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","MSI2",76626,124540,"ENSMUSG00000069769","ENSG00000153944",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Nr3c2",401.068479262287,-0.221725798703509,0.0812371472392099,-2.72936465937951,0.00634564905121723,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","NR3C2",110784,4306,"ENSMUSG00000031618","ENSG00000151623",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Lep",895.289371815496,-1.40598864895238,0.518843460880903,-2.70985134237841,0.00673133703789259,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","LEP",16846,3952,"ENSMUSG00000059201","ENSG00000174697",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Pik3r3",446.654991584467,-0.295015779833049,0.10991534048233,-2.68402734812504,0.00727411557513727,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","PIK3R3",18710,8503,"ENSMUSG00000028698","ENSG00000117461",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam"
"Copz1",913.977695702278,-0.170192948245957,0.0634687126319028,-2.68152513558954,0.00732874085167142,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","COPZ1",56447,22818,"ENSMUSG00000060992","ENSG00000111481",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"0610009E02Rik",35.6860079070163,-0.803594249720892,0.301129676677141,-2.6685986535378,0.00761684060743239,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Suco",500.034649756532,-0.245743793874785,0.093393220510978,-2.63128086311039,0.00850637050991709,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","SUCO",226551,51430,"ENSMUSG00000040297","ENSG00000094975",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Slmo2",1390.81636024269,-0.176055305748953,0.0671613847681926,-2.62137694683646,0.00875753712727615,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Tmem132b",149.693160322557,-0.599929666898688,0.230023028930433,-2.60812871514759,0.00910387143449985,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","TMEM132B",208151,114795,"ENSMUSG00000070498","ENSG00000139364",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"St8sia5",644.494109985505,-0.236036710243289,0.0912413788888725,-2.58694808339941,0.00968301804007341,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","ST8SIA5",225742,29906,"ENSMUSG00000025425","ENSG00000101638",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"G3bp2",3641.73427642377,-0.173426342604546,0.067041504899731,-2.58685038266858,0.00968576389882502,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","G3BP2",23881,9908,"ENSMUSG00000029405","ENSG00000138757",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Mob1b",1394.78211703565,-0.209811438002615,0.0814032717942363,-2.577432495993,0.00995373211683307,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","MOB1B",68473,92597,"ENSMUSG00000006262","ENSG00000173542",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Acot8",102.422405386727,-0.330592045217196,0.129986868947001,-2.54327262357544,0.0109819506673011,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","ACOT8",170789,10005,"ENSMUSG00000017307","ENSG00000101473",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Rab3a",375.402302612962,-0.226156641918335,0.0891639438819717,-2.53641362272741,0.0111994367472497,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","RAB3A",19339,5864,"ENSMUSG00000031840","ENSG00000105649",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cyp4f14",64.6959177266698,-1.00368985569248,0.399813026480622,-2.51039808414328,0.0120595127240462,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","CYP4F2",64385,8529,"ENSMUSG00000024292","ENSG00000186115",7,"Ensembl|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Mcfd2",1019.9435809257,-0.159049760706639,0.0634359926485122,-2.50724792134815,0.0121675335258987,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","MCFD2",193813,90411,"ENSMUSG00000024150","ENSG00000180398",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gm28229",42.7313823703975,-0.753590979503195,0.303552950946484,-2.4825684519076,0.0130439003741183,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Map3k7",2395.06722481182,-0.147675379291256,0.0596012838122358,-2.47772144902924,0.0132224327624079,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","MAP3K7",26409,6885,"ENSMUSG00000028284","ENSG00000135341",11,"EggNOG|Ensembl|HGNC|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Slc4a7",393.801011375405,-0.392886734430784,0.158623126343264,-2.47685658130687,0.0132545150775524,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","SLC4A7",218756,9497,"ENSMUSG00000021733","ENSG00000033867",11,"EggNOG|Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"B230312C02Rik",169.176950152216,-0.552075120337668,0.223316572465065,-2.47216368334702,0.0134298010421355,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"2810039B14Rik",38.7969445527197,-0.642312177948136,0.261920900024008,-2.45231357210998,0.0141940909068013,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Scx",76.8882257960498,-0.513362808932777,0.20938495186301,-2.45176553694577,0.0142157256212444,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","SCX",20289,642658,"ENSMUSG00000034161","ENSG00000260428",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Msra",367.84404426973,-0.221233495053831,0.0905276218756847,-2.44382311685637,0.0145325496606714,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","MSRA",110265,4482,"ENSMUSG00000054733","ENSG00000175806",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tmub2",450.896580610679,-0.207868181546669,0.0850743617597284,-2.44337044965135,0.0145507926941322,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","TMUB2",72053,79089,"ENSMUSG00000034757","ENSG00000168591",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Ric3",217.397431322246,-0.332693638502006,0.136768706736994,-2.43252748702066,0.0149938534120635,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","RIC3",320360,79608,"ENSMUSG00000048330","ENSG00000166405",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Dffa",1722.32595460509,-0.17289496334798,0.0717547028544674,-2.40952796778553,0.0159731717476552,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","DFFA",13347,1676,"ENSMUSG00000028974","ENSG00000160049",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Ppp1r15a",739.796704581546,-0.292032618788882,0.121887572426583,-2.3959179182503,0.0165788024816001,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","PPP1R15A",17872,23645,"ENSMUSG00000040435","ENSG00000087074",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Nucks1",2083.97497193365,-0.174327117968949,0.0729549591363306,-2.38951703945423,0.0168705412633114,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","NUCKS1",98415,64710,"ENSMUSG00000026434","ENSG00000069275",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Lphn1",305.785179726485,-0.30391891506372,0.127537214872072,-2.38298221714008,0.0171730238742636,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Ube2h",2251.41654651061,-0.160580079083466,0.0674236618925259,-2.38165763436925,0.0172349125781748,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","UBE2H",22214,7328,"ENSMUSG00000039159","ENSG00000186591",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Haghl",113.315907129826,-0.40134281458593,0.16858703357442,-2.38062682566132,0.0172832105042247,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","HAGHL",68977,84264,"ENSMUSG00000061046","ENSG00000103253",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gins2",144.004157002365,-0.533566134523149,0.224450180427836,-2.37721410384296,0.0174439596515387,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","GINS2",272551,51659,"ENSMUSG00000031821","ENSG00000131153",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Mup3",87.4183082720126,-1.55381913213193,0.653861517976293,-2.37637342069161,0.0174837589516427,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Pde12",413.67815141311,-0.222631209697934,0.0937941023758206,-2.37361629418745,0.0176148450210019,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","PDE12",211948,201626,"ENSMUSG00000043702","ENSG00000174840",11,"EggNOG|Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Rc3h2",1256.46709195713,-0.177617975087013,0.0748401181639306,-2.37329896644413,0.0176299873374133,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","RC3H2",319817,54542,"ENSMUSG00000075376","ENSG00000056586",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Mmgt1",2045.42194404637,-0.162755273911781,0.0686355211543077,-2.3712979981003,0.0177257330537621,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","MMGT1",236792,93380,"ENSMUSG00000061273","ENSG00000169446",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Rhoq",5470.34198672166,-0.146835556917973,0.0620974937319087,-2.36459715350029,0.0180496924744306,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","RHOQ",104215,23433,"ENSMUSG00000024143","ENSG00000119729",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Prdx6",2162.85913552851,-0.168686276956227,0.0713437764391538,-2.36441474471277,0.018058583253817,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","PRDX6",11758,9588,"ENSMUSG00000026701","ENSG00000117592",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Nfib",2606.6439734736,-0.211551631818539,0.0896592870596364,-2.35950606742865,0.0182992816199261,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","NFIB",18028,4781,"ENSMUSG00000008575","ENSG00000147862",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"2510009E07Rik",1098.98368455354,-0.156533457555226,0.0664702940038433,-2.35493854662618,0.0185257691635678,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","C3orf70",72190,285382,"ENSMUSG00000043391","ENSG00000187068",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Epha7",163.654325626274,-0.388095733862688,0.164896732150905,-2.35356837458442,0.0185941878453745,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","EPHA7",13841,2045,"ENSMUSG00000028289","ENSG00000135333",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Gtf2a1",701.852007734542,-0.301934952199204,0.128393538592398,-2.35163665951863,0.0186910223683701,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","GTF2A1",83602,2957,"ENSMUSG00000020962","ENSG00000165417",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Arl5b",806.966749621322,-0.156431171749802,0.066581404199953,-2.34947240343592,0.0188000376639075,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","ARL5B",75869,221079,"ENSMUSG00000017418","ENSG00000165997",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Dnm1l",3030.14588296518,-0.133026800289507,0.0567004204831378,-2.34613428182721,0.0189692719409521,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","DNM1L",74006,10059,"ENSMUSG00000022789","ENSG00000087470",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tmem182",11391.5243540758,-0.203475703030102,0.0872836103843915,-2.33120172428716,0.0197427252728927,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","TMEM182",381339,130827,"ENSMUSG00000079588","ENSG00000170417",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gm12725",17.1895884937808,-1.24571770808314,0.535764344701137,-2.3251224543097,0.0200654132997737,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Nme1",475.351773283803,-0.211252972498566,0.0912320167265035,-2.31555741151556,0.0205824464604756,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","NME1",18102,4830,"ENSMUSG00000037601","ENSG00000239672",10,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoMCL|Panther|PhylomeDB|Treefam"
"Fam83h",22.1407437599656,-1.06914097723296,0.463727636823844,-2.30553646652527,0.0211365468630989,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","FAM83H",105732,286077,"ENSMUSG00000046761","ENSG00000180921",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Trp53inp2",8332.80767450868,-0.221515346108402,0.0963799597376004,-2.29835483135176,0.0215416020721923,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","TP53INP2",68728,58476,"ENSMUSG00000038375","ENSG00000078804",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Folh1",25.2970230504143,-1.13155732260323,0.493174700968552,-2.29443505593646,0.0217655214695118,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","FOLH1",53320,2346,"ENSMUSG00000001773","ENSG00000086205",9,"EggNOG|Ensembl|HGNC|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Auts2",263.907931351961,-0.397123028429328,0.173167749370912,-2.29328515195241,0.0218315935001137,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","AUTS2",319974,26053,"ENSMUSG00000029673","ENSG00000158321",9,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther"
"Gm29170",129.69238457242,-0.265541581122536,0.115803800636876,-2.29302993219704,0.0218462817502292,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Cab39",7667.63070190417,-0.169881245175269,0.0744614132475502,-2.28146683988513,0.0225208367667776,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","CAB39",12283,51719,"ENSMUSG00000036707","ENSG00000135932",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Lyrm7",265.285720765691,-0.229413170650497,0.100694653951796,-2.27830536823058,0.0227083900502347,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","LYRM7",75530,90624,"ENSMUSG00000020268","ENSG00000186687",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Cstb",205.445671905224,-0.321943715071452,0.141486911489524,-2.27543107473435,0.0228800830198396,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","CSTB",13014,1476,"ENSMUSG00000005054","ENSG00000160213",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Syt9",82.4145029313405,-0.683291583360021,0.300338152434025,-2.27507420493345,0.0229014787717588,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","SYT9",60510,143425,"ENSMUSG00000062542","ENSG00000170743",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Cox10",643.461618260358,-0.207449644303289,0.0913077217220628,-2.27198357806755,0.0230875022168934,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","COX10",70383,1352,"ENSMUSG00000042148","ENSG00000006695",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ykt6",1342.3242874266,-0.148237497843309,0.0652633154994045,-2.27137553017302,0.023124254427114,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","YKT6",56418,10652,"ENSMUSG00000002741","ENSG00000106636",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Hebp1",136.046773406311,-0.46698723147986,0.205772614797282,-2.26943333513992,0.0232419869421077,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","HEBP1",15199,50865,"ENSMUSG00000042770","ENSG00000013583",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Mib1",5208.33727765848,-0.406179223112609,0.179480280149712,-2.26308551988997,0.0236304179905253,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","MIB1",225164,57534,"ENSMUSG00000024294","ENSG00000101752",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Nsun4",646.639296658136,-0.185879884750293,0.0825010067543591,-2.25306201782164,0.0242552388944208,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","NSUN4",72181,387338,"ENSMUSG00000028706","ENSG00000117481",8,"HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|PhylomeDB|Treefam"
"Ccdc34",68.1257188011103,-0.585706828498641,0.262017241995515,-2.23537513805548,0.0253927309130809,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","CCDC34",68201,91057,"ENSMUSG00000027160","ENSG00000109881",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Bcl6",1849.58004441251,-0.363305356124659,0.162760290620227,-2.23214983667219,0.0256050615416901,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","BCL6",12053,604,"ENSMUSG00000022508","ENSG00000113916",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Glrx",721.381450245315,-0.204695892298046,0.0923373364553244,-2.2168269104999,0.0266349218403028,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","GLRX",93692,2745,"ENSMUSG00000021591","ENSG00000173221",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
