"Tags","Checked","Name","Formula","Annot. Source: Predicted Compositions","Annot. Source: mzCloud Search","Annot. Source: MassList Search","Annot. DeltaMass [ppm]","Calc. MW","m/z","RT [min]","Area (Max.)","# mzCloud Results","mzCloud Best Match","mzCloud Best Match Confidence","mzCloud Best Sim. Match","Mass List Match: metabolites list_230424_ForCD","MS2","Reference Ion","Group Area: 2M33_neg","Group Area: 2M20_neg","Group Area: 2M31_neg","Group Area: 2M17_neg","Group Area: 2M26_neg","Group Area: 2M23_neg","Group Area: 2M16_neg","Group Area: 1M11_neg","Group Area: 2M22_neg","Group Area: 4M5_neg","Group Area: 1M10_neg","Group Area: 1M9_neg","Group Area: 4M4_neg","Group Area: 1M4_neg","Group Area: 1M7_neg","Group Area: 4M3_neg","Group Area: 1M2_neg","Group Area: 1M6_neg","Group Area: 4M2_neg","Group Area: 1M1_neg","Group Area: 1M5_neg","Group Area: 4M1_neg","Peak Rating: 2M33_neg.raw (F6)","Peak Rating: 2M20_neg.raw (F7)","Peak Rating: 2M31_neg.raw (F8)","Peak Rating: 2M17_neg.raw (F9)","Peak Rating: 2M26_neg.raw (F10)","Peak Rating: 2M23_neg.raw (F11)","Peak Rating: 2M16_neg.raw (F12)","Peak Rating: 1M11_neg.raw (F13)","Peak Rating: 2M22_neg.raw (F14)","Peak Rating: 4M5_neg.raw (F15)","Peak Rating: 1M10_neg.raw (F16)","Peak Rating: 1M9_neg.raw (F17)","Peak Rating: 4M4_neg.raw (F18)","Peak Rating: 1M4_neg.raw (F19)","Peak Rating: 1M7_neg.raw (F20)","Peak Rating: 4M3_neg.raw (F21)","Peak Rating: 1M2_neg.raw (F22)","Peak Rating: 1M6_neg.raw (F23)","Peak Rating: 4M2_neg.raw (F24)","Peak Rating: 1M1_neg.raw (F25)","Peak Rating: 1M5_neg.raw (F26)","Peak Rating: 4M1_neg.raw (F27)","Peak Rating: Blank5.raw (F28)"
NA,FALSE,"NP-004768","C13 H12 O6","No match","Invalid mass","No results",-68216.28,246.04996,245.04269,13.093,2193182871.84931,3,57.4,7.9,54,"No matches found","DDA for preferred ion","[M-H]-1",646576271.749975,1422644745.31065,485966967.622811,2193182871.84931,246411945.182739,282649370.556229,1134131044.06689,238111622.435611,749183756.461648,590194949.493909,674570952.01409,358742219.727053,561883907.905132,593109492.04265,364453053.747322,729442921.636129,282677462.277912,259531596.179771,443373667.810524,643769720.954374,284820373.137811,535836072.45202,9.5,9.5,9.5,9.5,8.9,9.5,9.5,9.5,9.5,10,9.5,9.5,9.5,8.9,8.4,8.9,9.5,9.5,10,9.5,9.5,9.5,NA
NA,FALSE,"Taurine","C2 H7 N O3 S","Full match","Full match","No results",-2.68,125.01433,124.00705,12.132,2139291444.50745,1,94.9,9.7,NA,"No matches found","DDA for preferred ion","[M-H]-1",1689456138.86952,1930021495.77012,2038316154.11217,2139291444.50745,1441860001.36116,1583466114.37811,2065778744.85653,2086566756.63332,1597541401.09687,2114834480.69372,1907395277.69494,1733126814.12644,2047802485.12622,1720493157.87875,1623575464.72171,1337597939.56905,1853445200.71788,981351395.983302,1809244607.28185,1592724466.05568,1373431611.34269,1901566103.56244,6.7,7.8,7.3,7.3,7.8,6.7,6.7,8.4,6.7,6.2,7.8,7.3,7.8,7.8,7.8,7.8,7.8,7.8,6.7,7.8,7.8,6.7,4.5
NA,FALSE,"Docosahexaenoic acid","C22 H32 O2","No results","Full match","Full match",-0.75,328.23998,327.23271,2.226,2069812544.70668,2,93.2,9.7,NA,"Single match found","DDA for preferred ion","[M-H]-1",736410105.275452,451663569.916777,367512004.928758,1111956055.55809,568209206.554605,259902809.033154,894451712.596293,1613279895.03774,1280190049.56538,421579898.276228,2069812544.70668,1796238156.82597,360325939.610606,1338438526.50628,1488147030.67879,519149306.038027,1094307499.83219,1148368450.88924,322129619.023072,1152531704.18132,984109131.557677,288895150.682563,10,8.9,10,10,10,8.9,10,10,10,10,10,10,10,10,10,10,10,10,8.9,10,10,8.9,NA
NA,FALSE,"Arachidonic acid","C20 H32 O2","No results","Full match","Full match",-1.71,304.23971,303.23243,2.259,2026034160.01167,2,93.9,9.7,NA,"Single match found","DDA for preferred ion","[M-H]-1",883913155.850035,504589678.917105,560174601.094805,1156536963.40427,813641404.851539,421961023.189498,1021716707.69174,1754054664.34523,1297054376.62946,553685591.997833,2026034160.01167,1772311127.44108,518303665.99653,1283776208.76457,1460886754.42063,842352270.13499,1305184956.47956,1181939348.49551,509777185.071791,1184085115.16392,1174561193.07373,334185754.087736,8.9,10,10,8.9,10,8.9,10,10,8.9,10,8.9,10,10,10,8.9,10,10,10,10,10,10,10,8.9
NA,FALSE,"gamma-Linolenic acid","C18 H30 O2","Full match","Partial match","Full match",-1.17,278.22425,277.21698,2.321,1545015509.06287,6,91.7,9.6,NA,"Single match found","DDA for preferred ion","[M-H]-1",358876100.303377,333450355.84147,353336655.121589,639070699.207404,395174612.022713,198987667.702551,517938014.860482,728517510.324087,667119595.073325,343743876.138818,1426028844.3938,1545015509.06287,286740630.915892,1100131060.70911,1162399166.43214,438705732.593064,716003476.169296,1205937614.458,344425255.296897,1066762298.48556,982517428.367692,226184740.562575,8.9,10,10,10,10,10,8.9,10,10,10,8.9,8.9,8.9,10,10,10,10,10,10,10,10,10,NA
NA,FALSE,"Uridine","C9 H12 N2 O6","Full match","Full match","Full match",-1.83,244.06909,243.06181,8.038,868592550.025015,2,93.9,81,NA,"Single match found","DDA for preferred ion","[M-H]-1",581174138.950421,632134953.860201,534732940.339459,711695055.81365,544623992.0153,338399535.718251,756057866.967184,742242528.132709,868592550.025015,384401510.747357,731940311.468603,797883013.003351,338794863.311552,603730607.828097,617408543.973589,445857350.231734,823400099.354032,569496874.877056,221717238.502988,499588339.846017,421307840.63864,229245794.645812,8.9,8.9,8.9,7.8,8.9,8.4,8.4,8.9,8.9,8.4,8.9,8.9,8.9,8.4,8.4,8.4,8.9,8.9,8.9,8.4,8.4,8.9,3.4
NA,FALSE,NA,NA,"No results","No results","No results",NA,257.24327,256.23599,2.11,868361539.151531,0,NA,NA,NA,"No matches found","No MS2","[M-H]-1",240725.878241268,232782.444221976,186863.563307179,187423.440908777,220500.258074043,195450.558675989,1791843.96777,240259.076773853,214718.084862399,187002.934491367,300527.045709604,234417.942937652,163162.755886436,228179.709284798,776083383.074367,182919.926099153,868361539.151531,235731.660540955,210179.156958783,218776.160499104,788861.868389688,213918.596284263,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,5,NA,NA,8.9,NA,8.9,NA,NA,NA,1,NA,NA
NA,FALSE,NA,NA,"No results","No results","No results",NA,517.30032,516.29304,4.054,711774388.494581,0,NA,NA,NA,"No matches found","No MS2","[M-H]-1",148763895.874483,92255835.8163034,158468344.722168,70737749.4071162,99934349.4957598,209442943.403641,50571295.851948,166901515.888329,196824701.308948,69570241.3025211,246919817.695844,376348472.86663,67810011.5343158,173745893.907435,711774388.494581,67784003.8414139,414328656.024884,123647226.384014,59864353.9436524,104961579.663076,250517602.406712,59756818.8705277,10,10,10,10,10,10,8.9,10,10,10,8.9,10,8.9,8.9,10,8.9,10,10,10,10,10,10,NA
NA,FALSE,"2-Hydroxybenzaldehyde","C7 H6 O2","Full match","Partial match","Full match",-1.86,122.03655,121.02928,3.902,681081096.779444,2,85.2,9.3,NA,"Multiple matches found","DDA for preferred ion","[M-H]-1",393578251.964033,78181636.5579821,78461597.9770685,514840651.49193,393335002.517015,114683575.141593,681081096.779444,39209977.2615158,667089837.694513,40138754.1825612,37873876.8243758,35835892.7354159,38706302.8178694,36613580.7181468,37316451.4033987,37542666.695758,35642155.0068469,35809887.6248541,35594049.0568599,33475924.2118325,19422472.9120394,37748410.2693966,8.4,6.7,6.2,8.4,6.2,7.8,7.3,6.7,6.2,7.3,6.2,7.8,7.8,7.3,7.3,7.8,7.3,7.8,7.8,7.3,8.4,7.8,7.3
NA,FALSE,NA,"C23 H44 O6","Full match","No results","No results",-1.67,416.3131,415.30582,2.534,679577072.105852,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M-H]-1",212054372.046569,31307594.1425534,22651899.8343203,679577072.105852,129164989.956729,15114413.660734,522497305.578117,103498991.437225,63751192.4727839,57942030.7750118,328775789.973906,201860981.696119,25139861.2812526,85821563.6834237,151109963.928845,43905311.3930429,83639464.7925246,61107642.4372651,33432306.7942892,134967355.25765,106563315.547847,15036010.1226082,10,8.9,8.9,10,10,8.9,10,10,8.9,10,10,8.9,10,8.9,8.9,10,8.9,10,8.9,10,10,8.9,6
NA,FALSE,"Stearic acid","C18 H36 O2","Full match","Full match","Full match",-4.38,284.27028,283.26301,2.266,646124210.594856,2,82.7,9.1,NA,"Single match found","DDA for preferred ion","[M-H]-1",484478250.605432,408775636.704878,413977595.330512,646124210.594856,618250287.048396,381650986.916026,623117382.11198,582666271.791077,532248626.874866,317421862.547139,366793529.460366,385490055.802304,335576200.43286,301155634.687223,295786017.259806,324595753.993535,288184454.09481,184831449.234092,236399134.117107,223963419.295092,246596355.062621,328973743.950461,10,8.9,8.9,8.9,8.9,10,8.9,8.4,8.9,10,8.9,10,10,10,10,8.9,10,10,10,10,10,8.9,10
NA,FALSE,"Taurodeoxycholic acid","C26 H45 N O6 S","Full match","Partial match","Full match",-1.97,499.29578,498.2885,3.887,639636044.959762,2,90,9.5,NA,"Multiple matches found","DDA for preferred ion","[M-H]-1",137716881.224969,220229798.585648,413873636.759402,235703891.891298,203202430.355852,593849072.17422,137663353.658327,47793556.0541646,639636044.959762,431220540.747461,228061383.098043,73645085.3942962,503837000.677725,55295882.1891197,188445653.473103,505730244.511897,115370589.167743,71744218.5112135,416930054.812555,77484790.4459828,100621540.15696,509935221.924188,7.8,8.9,9.5,7.8,9.5,8.9,8.4,6.2,9.5,7.3,5.7,8.4,8.4,7.3,8.4,8.4,7.8,8.4,8.9,7.3,7.3,8.9,4.2
NA,FALSE,"D-Malic acid","C4 H6 O5","Full match","Partial match","Full match",-2.15,134.02124,133.01396,14.487,631235502.983936,3,97.4,65.2,NA,"Single match found","DDA for preferred ion","[M-H]-1",271370199.304713,313205685.747038,329701194.226978,186951336.550308,254028520.175434,212525447.476262,180633963.844353,295023379.141314,178374759.339583,376613639.044719,284596766.817443,315453523.811507,386304190.946274,280095612.116224,282808663.285723,403566604.085805,357493146.703401,289487495.075709,631235502.983936,215053738.674144,212910929.395645,611720326.865368,8.4,8.9,8.4,8.4,8.9,8.9,7.8,8.9,8.9,8.9,8.9,8.9,8.9,7.8,8.9,8.9,8.4,8.9,8.9,8.4,7.3,8.9,4.2
NA,FALSE,"1-Pentanesulfenothioic acid","C5 H12 S2","No match","No match","Full match",0.48,136.03811,135.03083,8.253,605736132.985302,3,95.2,62.1,NA,"Multiple matches found","DDA for preferred ion","[M-H]-1",352463151.618676,453288368.483402,367028917.027316,328153199.761818,479268832.555912,272284321.354205,354554585.647845,605736132.985302,524849303.0849,185488078.872677,517723213.529482,536803493.531011,171924711.029141,397127517.59846,333956666.697302,262176145.413333,459656127.452,354619577.8742,113409040.935359,138888702.746437,194821175.894728,123903898.755502,8.9,8.4,8.9,8.4,10,8.9,8.4,8.9,8.4,8.9,8.9,8.4,8.9,8.9,8.9,8.4,8.9,8.4,8.9,8.9,9.5,8.4,1.2
NA,FALSE,"Hippuric acid","C9 H9 N O3","Full match","Full match","Full match",-1.55,179.05797,178.05069,4.063,600421597.203332,3,93.2,9.7,NA,"Single match found","DDA for preferred ion","[M-H]-1",307397604.506489,301238886.022839,185213890.118907,557726321.641647,600421597.203332,230264975.130548,516065686.747436,634795.313879558,364038954.443297,1421620.20272006,1052759.7585683,215255.600052939,3351973.25497799,588283.43126422,718702.241434726,2219527.02767367,1239191.48586251,207317.784489892,2153754.34627546,847828.71771321,242638.787114147,8464027.38042807,10,10,10,10,10,10,10,8,10,8.9,10,9.3,10,8,9.1,8.9,10,9.3,10,9.7,9.3,10,7.7
NA,FALSE,NA,NA,"No results","No results","No results",NA,283.26001,282.25273,2.671,562820548.656813,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M-H]-1",7401322.36731291,562820548.656813,3529731.26312995,20017226.0612389,9774035.20909533,2184877.05979821,13219261.9295001,16433022.5689948,8287557.58827819,4281056.05323392,26669802.2145396,16096818.3313639,2965804.24287658,9475688.37833327,12850654.4358139,5459944.2828003,11486391.2664702,16902292.8390972,3879435.92687302,11353468.5181402,10958625.9899557,2030429.18538569,NA,8.9,NA,NA,5.1,NA,NA,3.5,NA,NA,4.6,4.6,NA,6.7,4,NA,4.6,6.7,NA,3.5,4.6,NA,2.5
NA,FALSE,NA,"C18 H31 N3 O","Full match","No results","No results",-2.75,305.24587,304.2386,2.351,496469990.005424,0,NA,NA,NA,"No matches found","No MS2","[M-H]-1",78617122.5721163,106968094.432465,41295504.5120007,240036321.20173,112276098.144229,65865016.2901149,98674509.3046132,33836004.0479135,154939912.897911,95871792.8268049,496469990.005424,300839.003152021,59279893.7573951,187896.981576435,370464729.501036,74731779.5767017,3154428.74224535,250681.341715423,30692971.6641931,296475258.528286,306382374.787814,20923930.3357341,9.5,8.9,9.5,6.7,8.9,8.9,9.5,8.4,8.9,8.9,8.9,2.6,9.5,2.8,8.4,9.5,2.9,2.3,9.5,10,8.4,10,8
NA,FALSE,NA,NA,"No results","No results","No results",NA,414.29805,413.29077,2.545,488158888.017491,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M-H]-1",230020968.772763,23615017.4555345,28251958.6385021,488158888.017491,189504369.145109,12930771.7132145,487051431.796875,105287268.460781,66422037.6255436,67526913.6265258,368253527.228386,313508585.762409,26111448.5037697,80087853.3810258,179074939.922569,38830694.9614991,100374636.247088,64980329.1234653,31230567.9473032,127327557.767656,117698078.265968,16540933.6395567,10,8.9,8.9,10,8.9,9.5,10,8.9,10,10,8.9,8.9,8.9,8.9,10,8.9,8.9,8.9,10,10,8.9,8.9,NA
NA,FALSE,NA,"C2 H7 O6 P","Full match","No results","No results",-1.13,157.99785,156.99057,16,475433974.70536,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M-H]-1",436671389.228849,448369133.614234,408828019.903336,393644011.005447,444259826.394439,361382754.82764,385457409.431838,449721982.442494,374519302.884225,399123530.776791,464574910.424641,475433974.70536,411146895.376731,395061979.977404,395847885.392992,394426094.014951,411645796.418092,440382708.669007,412870813.867249,350594767.552851,385979315.765586,421266249.60769,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,6.7
NA,FALSE,"Dihomo-gamma-linolenic acid","C20 H34 O2","Not the top hit","Partial match","Full match",-2.48,306.25512,305.24785,2.264,473538930.756908,3,90.5,9.5,NA,"Single match found","DDA for preferred ion","[M-H]-1",300287228.829559,107721148.504457,123250527.040571,265280735.121953,176965978.543188,80994834.9326553,192382531.896918,280782881.04364,280968465.093257,128244847.547198,473538930.756908,391829290.93637,106505792.33983,240867097.49069,290512302.1472,167952828.943382,176263726.986011,316545913.046437,110493305.659377,226325394.693054,278716804.597957,77899026.6467952,10,8.9,8.9,8.9,8.9,10,8.9,8.9,10,8.9,8.9,8.9,8.9,8.9,8.9,10,8.9,8.9,10,8.9,10,10,3.7
NA,FALSE,NA,"C14 H25 O3 P3","Full match","No results","No results",-2.2,334.10092,333.09364,8.052,470611050.855306,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M-H]-1",277227909.509971,468521251.144067,362913115.066396,438253546.05492,383065717.843378,209880644.376873,414952514.70171,392058173.205536,419018787.964702,305005050.556226,407579753.982469,470611050.855306,310436331.606115,276508937.175733,322461821.324056,404852136.433183,427559655.110558,253747125.390576,192566481.787579,181051978.534169,221842296.802466,178686974.43728,7.8,7.8,8.4,7.8,8.9,6.7,7.3,7.8,7.8,7.8,7.3,7.8,8.4,8.4,6.7,7.3,7.3,7.3,7.8,8.4,6.7,7.8,NA
NA,FALSE,"Eicosapentaenoic acid","C20 H30 O2","Full match","Invalid mass","Full match",-1.77,302.22404,301.21677,2.279,431499163.552127,3,NA,NA,68.6,"Multiple matches found","DDA for preferred ion","[M-H]-1",64206934.9580009,101062032.080096,60354093.76112,158242557.786278,72584444.011302,37928874.6398854,89961580.4413785,356859949.078648,209422879.180952,117862634.327053,431126281.373742,387443324.484569,88405184.7163494,431499163.552127,360704360.981555,121906767.696517,243693180.614597,279445554.44546,98278794.6166617,401159477.018299,228072215.604006,90191689.9271848,8.9,10,10,8.9,10,8.9,8.9,8.9,10,10,8.9,8.9,8.9,8.9,8.9,10,8.9,10,10,8.9,8.9,10,8.4
NA,FALSE,NA,"C12 H30 N6","Full match","No results","No results",-5.51,258.25177,257.2445,2.321,427927448.277749,0,NA,NA,NA,"No matches found","No MS2","[M-H]-1",923522.354467565,245533.907302939,1208069.8528452,6214803.93229447,20431909.1825074,1155090.71859779,6379106.44798139,427927448.277749,2243746.14462854,263211.084142388,358779389.806793,350710025.777575,83662.8055788578,305924296.341779,256590361.084273,280887.988741698,260458548.045356,202830510.149906,217370.605647256,214903535.00986,229347672.841375,359278.992841641,6.4,NA,4,7.8,10,10,10,8.9,8.4,NA,8.9,8.9,3,10,8.9,NA,10,10,NA,8.9,10,4.8,NA
NA,FALSE,NA,"C15 H31 N5 O3","Full match","No results","No results",-1.21,329.24229,328.23502,2.34,395960817.40163,0,NA,NA,NA,"No matches found","No MS2","[M-H]-1",9282850.49988757,5916717.94920533,4527239.80331836,14570803.1381851,7121491.49426146,3214682.76382011,11028260.1291999,14224430.1739242,16539789.9452534,5283043.66084118,22777374.0579839,18491449.7361177,4263391.3484232,12418098.9952218,14645412.8051787,6643831.40387906,11022537.9798739,9871023.52551938,4374523.14849647,395960817.40163,9143691.53031349,3954551.63904547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,8.4,NA,NA
NA,FALSE,NA,NA,"No results","No results","No results",NA,91.03759,90.03031,8.163,392818330.715776,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M-H]-1",1667989.11733685,312162.469343906,2281382.75025327,4883583.14118965,10066159.5056355,2108112.42020584,2791688.78692828,340640740.652281,2926321.27390855,1257394.23673614,309735138.728655,392818330.715776,1688366.29052387,268237736.651928,197090154.267807,2409719.90758865,322412760.297722,225564523.008905,1905232.997138,182068232.233298,207433592.646537,1910699.13027944,4,NA,3.5,4.6,4.6,4,2.4,7.3,4,4,7.3,7.3,2.9,7.3,7.3,4.6,7.3,7.8,3.5,6.7,7.3,3.5,NA
