"Tags","Checked","Name","Formula","Annot. Source: Predicted Compositions","Annot. Source: mzCloud Search","Annot. Source: ChemSpider Search","Annot. Source: MassList Search","Annot. DeltaMass [Da]","Annot. DeltaMass [ppm]","Calc. MW","m/z","RT [min]","Area (Max.)","# mzCloud Results","mzCloud Best Match","mzCloud Best Match Confidence","mzCloud Best Sim. Match","Mass List Match: metabolites list_230424_ForCD","MS2","Reference Ion","Area: 2M_22_pos.raw (F3)","Area: 2M_31_pos.raw (F4)","Area: 2M_20_pos.raw (F5)","Area: 2M_26_pos.raw (F6)","Area: 2M_23_pos.raw (F7)","Area: 2M_17_pos.raw (F8)","Area: 2M_33_pos.raw (F9)","Area: 2M_16_pos.raw (F10)","Area: 1M_09_pos.raw (F13)","Area: 1M_07_pos.raw (F14)","Area: 1M_11_pos.raw (F15)","Area: 1M_06_pos.raw (F16)","Area: 1M_10_pos.raw (F17)","Area: 4M_05_pos.raw (F19)","Area: 1M_05_pos.raw (F20)","Area: 4M_04_pos.raw (F21)","Area: 1M_02_pos.raw (F22)","Area: 4M_03_pos.raw (F23)","Area: 1M_04_pos.raw (F24)","Area: 4M_02_pos.raw (F25)","Area: 1M_01_pos.raw (F26)","Area: 4M_01_pos_20250210171958.raw (F27)","Group Area: 2M_22_pos","Group Area: 2M_31_pos","Group Area: 2M_20_pos","Group Area: 2M_26_pos","Group Area: 2M_23_pos","Group Area: 2M_17_pos","Group Area: 2M_33_pos","Group Area: 2M_16_pos","Group Area: 1M_09_pos","Group Area: 1M_07_pos","Group Area: 1M_11_pos","Group Area: 1M_06_pos","Group Area: 1M_10_pos","Group Area: 4M_05_pos","Group Area: 1M_05_pos","Group Area: 4M_04_pos","Group Area: 1M_02_pos","Group Area: 4M_03_pos","Group Area: 1M_04_pos","Group Area: 4M_02_pos","Group Area: 1M_01_pos","Group Area: 4M_01_pos_20250210171958","Peak Rating: 2M_22_pos.raw (F3)","Peak Rating: 2M_31_pos.raw (F4)","Peak Rating: 2M_20_pos.raw (F5)","Peak Rating: 2M_26_pos.raw (F6)","Peak Rating: 2M_23_pos.raw (F7)","Peak Rating: 2M_17_pos.raw (F8)","Peak Rating: 2M_33_pos.raw (F9)","Peak Rating: 2M_16_pos.raw (F10)","Peak Rating: 1M_09_pos.raw (F13)","Peak Rating: 1M_07_pos.raw (F14)","Peak Rating: 1M_11_pos.raw (F15)","Peak Rating: 1M_06_pos.raw (F16)","Peak Rating: 1M_10_pos.raw (F17)","Peak Rating: 4M_05_pos.raw (F19)","Peak Rating: 1M_05_pos.raw (F20)","Peak Rating: 4M_04_pos.raw (F21)","Peak Rating: 1M_02_pos.raw (F22)","Peak Rating: 4M_03_pos.raw (F23)","Peak Rating: 1M_04_pos.raw (F24)","Peak Rating: 4M_02_pos.raw (F25)","Peak Rating: 1M_01_pos.raw (F26)","Peak Rating: 4M_01_pos_20250210171958.raw (F27)"
NA,FALSE,"Vigabatrin","C6 H11 N O2","Full match","No results","Full match","No results",-0.00014,-1.1,129.07884,130.08611,3.59,766196.040389886,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M+H]+1",66567.2301624484,69509.6094327833,111750.383389251,98104.0814770752,53409.9418293797,91289.8464295852,766196.040389886,53625.2073490056,109782.087142931,98217.0806789823,67573.38220955,54724.2828565986,91418.3095211149,518733.02742355,51905.2448535647,101966.539508578,154407.090647074,98167.1339739173,84995.2376062747,85656.3802853505,410492.357457423,93877.1996861389,66567.2301624484,69509.6094327833,111750.383389251,98104.0814770752,53409.9418293797,91289.8464295852,766196.040389886,53625.2073490056,109782.087142931,98217.0806789823,67573.38220955,54724.2828565986,91418.3095211149,518733.02742355,51905.2448535647,101966.539508578,154407.090647074,98167.1339739173,84995.2376062747,85656.3802853505,410492.357457423,93877.1996861389,NA,NA,NA,NA,NA,NA,1.5,3.3,NA,NA,NA,NA,4.3,1.7,6.5,NA,3.6,4.1,7.6,NA,1.2,NA
NA,FALSE,"Valylproline","C10 H18 N2 O3","Full match","Invalid mass","Partial match","Full match",-0.00026,-1.22,214.13148,215.13881,12.768,8743023.51423033,2,57.4,7.9,NA,"Single match found","DDA for other ion","[M+H]+1",1736708.42665054,1638833.88891475,2282078.95156512,1414391.58110114,1484992.87354917,3646604.6833984,1872036.12275476,1894006.52605186,3614631.38681902,3083333.97771469,2507900.70099865,2471278.40683931,2430006.92066745,2912672.93917089,4062708.01821105,3856293.32281693,8743023.51423033,3030507.00937144,2889852.08623548,2920740.73164555,2990132.39469775,2489811.30804507,1736708.42665054,1638833.88891475,2282078.95156512,1414391.58110114,1484992.87354917,3646604.6833984,1872036.12275476,1894006.52605186,3614631.38681902,3083333.97771469,2507900.70099865,2471278.40683931,2430006.92066745,2912672.93917089,4062708.01821105,3856293.32281693,8743023.51423033,3030507.00937144,2889852.08623548,2920740.73164555,2990132.39469775,2489811.30804507,3.7,3.7,3.7,4.2,3.2,5.1,4.2,4.8,5.1,5.1,4.8,3.2,4.2,4.6,4.6,5.1,5.7,4.6,5.1,4,4,4.2
NA,FALSE,"Valpromide","C8 H17 N O","Full match","No results","Full match","Full match",-1e-04,-0.71,143.13091,144.13819,19.51,8195350.79746473,0,NA,NA,NA,"Single match found","No MS2","[M+H]+1",2047372.30731183,2247287.66916037,2345075.35733775,3232365.48246606,2201932.52249577,5461300.1622477,4826026.1849776,2635659.05453341,4100392.62177004,3859205.81623239,4994724.8197132,2061718.47379505,3061487.85727601,1865992.51535811,3442004.44538574,2588720.69659727,3548644.50025159,2185885.67937454,2537198.00440577,1925301.83609446,2243447.7687598,8195350.79746473,2047372.30731183,2247287.66916037,2345075.35733775,3232365.48246606,2201932.52249577,5461300.1622477,4826026.1849776,2635659.05453341,4100392.62177004,3859205.81623239,4994724.8197132,2061718.47379505,3061487.85727601,1865992.51535811,3442004.44538574,2588720.69659727,3548644.50025159,2185885.67937454,2537198.00440577,1925301.83609446,2243447.7687598,8195350.79746473,7,8,8,6.7,8,4.6,4,7.5,8.4,7.8,7.8,7.5,7.8,6.4,7.8,7.5,7.8,7,7.5,8,7,4.6
NA,FALSE,"Valpromide","C8 H17 N O","Full match","No results","Full match","Full match",-0.00021,-1.49,143.1308,144.13808,1.026,183227.215816237,0,NA,NA,NA,"Single match found","No MS2","[M+H]+1",78718.4802274678,63759.2895479243,94060.5533322941,113832.797962617,75077.2368286699,107917.411436741,88867.336585399,105807.30287788,59892.0675799149,183227.215816237,99781.5233006299,32927.5394717226,86586.4676362204,93259.5390818161,89668.4731246602,115440.603896342,88424.3716972205,65889.4708029757,92333.5456929209,69438.8555136321,115770.067117452,106582.715045262,78718.4802274678,63759.2895479243,94060.5533322941,113832.797962617,75077.2368286699,107917.411436741,88867.336585399,105807.30287788,59892.0675799149,183227.215816237,99781.5233006299,32927.5394717226,86586.4676362204,93259.5390818161,89668.4731246602,115440.603896342,88424.3716972205,65889.4708029757,92333.5456929209,69438.8555136321,115770.067117452,106582.715045262,3.3,3.8,5.8,4.7,5.4,NA,2.7,2.5,2.2,3,NA,6.5,6.5,6.8,3.8,3.6,2.7,1.6,4.7,3.3,3,6.8
NA,FALSE,"Valerylcarnitine","C12 H23 N O4","Full match","Invalid mass","Partial match","Full match",-0.00037,-1.53,245.16233,246.16961,9.28,10033359.9536756,2,57.2,7.9,NA,"Single match found","DDA for preferred ion","[M+H]+1",3607524.67116289,8241568.32935596,1106672.61406335,7245591.66699071,5435114.15393675,2931787.99034831,4601514.02050525,1862561.97757231,7212233.55880317,2760987.75741449,4217286.77369889,1557494.6327605,1629504.94751892,2206584.07110643,10033359.9536756,2271128.40487909,1316861.6603265,2960539.02124041,1843248.24473001,3018567.74629632,3659524.63993607,1844255.05245155,3607524.67116289,8241568.32935596,1106672.61406335,7245591.66699071,5435114.15393675,2931787.99034831,4601514.02050525,1862561.97757231,7212233.55880317,2760987.75741449,4217286.77369889,1557494.6327605,1629504.94751892,2206584.07110643,10033359.9536756,2271128.40487909,1316861.6603265,2960539.02124041,1843248.24473001,3018567.74629632,3659524.63993607,1844255.05245155,8.9,9.5,8,8.9,8.9,8.4,6.2,7.5,8.9,8.6,8.9,7.5,8.6,8,8.4,8.6,8,8.9,8.6,8.9,8.9,8
NA,FALSE,"Valerylcarnitine","C12 H23 N O4","Full match","Invalid mass","Partial match","Full match",-0.00038,-1.54,245.16233,246.16961,9.124,5495571.36906248,2,59.3,8,NA,"Single match found","DDA for preferred ion","[M+H]+1",1925723.60602457,4702715.49922693,732287.595349094,5264079.18431975,3124242.28832007,1559798.21190956,4601514.02050525,958526.906247194,5495571.36906248,1787615.85005131,3766744.46860076,1443295.68968498,1158114.43472613,1472117.74164469,5286941.61185561,1316903.58638268,1382767.64041812,1803456.4975706,1242342.84526911,2273059.13252108,2495861.50241236,1249823.71735822,1925723.60602457,4702715.49922693,732287.595349094,5264079.18431975,3124242.28832007,1559798.21190956,4601514.02050525,958526.906247194,5495571.36906248,1787615.85005131,3766744.46860076,1443295.68968498,1158114.43472613,1472117.74164469,5286941.61185561,1316903.58638268,1382767.64041812,1803456.4975706,1242342.84526911,2273059.13252108,2495861.50241236,1249823.71735822,7.5,7.8,6.6,8.4,7.3,8,6.2,7.5,7.8,7.5,8.4,5.3,8,7.5,8.4,8,7.5,8,7.5,7.5,8,8
NA,FALSE,"Valeryl fentanyl-d5","C24 H27 [2]H5 N2 O","No results","Invalid mass","No match","No results",-193.15254,-523047.7,176.1303,370.29443,3.891,58742735.8920793,1,50.8,7.5,NA,"No matches found","DDA for other ion","[2M+NH4]+1",28336964.8930444,16801096.5647019,43112156.7616396,17522196.6894031,15363825.5749434,35608690.3113992,16906433.6388514,19228613.4467598,32408923.2573999,860458.899687078,9626886.36189787,22071331.3029477,9015013.05171674,8677749.72279789,58742735.8920793,12960305.6609825,4924553.79973791,694688.733749739,11943635.3511752,1419942.01747468,2688742.50128867,4060498.40015782,28336964.8930444,16801096.5647019,43112156.7616396,17522196.6894031,15363825.5749434,35608690.3113992,16906433.6388514,19228613.4467598,32408923.2573999,860458.899687078,9626886.36189787,22071331.3029477,9015013.05171674,8677749.72279789,58742735.8920793,12960305.6609825,4924553.79973791,694688.733749739,11943635.3511752,1419942.01747468,2688742.50128867,4060498.40015782,8.4,6.2,8.9,NA,NA,NA,9.5,7.3,9.5,8,8.4,6.7,6.2,NA,8.4,8.9,6.7,5,8.4,7,8.6,8.4
NA,FALSE,"Valeramide","C5 H11 N O","Full match","No results","Full match","No results",0.00019,1.88,101.08425,102.09153,14.26,5451987.4407458,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M+H]+1",3169699.64356093,2152953.46225837,2739069.48016611,3746242.56522711,4473293.65538336,3702098.50783174,2683440.69421448,2556156.81679808,4985418.03939091,4314124.47714566,4385554.98180298,4690447.40172667,3234560.01702063,185210.256519619,5312108.57171476,4683589.10307327,4098419.61295373,4349257.75457483,3908113.43973942,145652.84388778,5451987.4407458,3356675.92724026,3169699.64356093,2152953.46225837,2739069.48016611,3746242.56522711,4473293.65538336,3702098.50783174,2683440.69421448,2556156.81679808,4985418.03939091,4314124.47714566,4385554.98180298,4690447.40172667,3234560.01702063,185210.256519619,5312108.57171476,4683589.10307327,4098419.61295373,4349257.75457483,3908113.43973942,145652.84388778,5451987.4407458,3356675.92724026,5.1,3.7,3.7,4.6,6.2,6.7,4.8,5.3,7.3,6.2,6.2,7.8,7.3,2,1.8,8.4,6.7,8.4,7.3,2,7.8,7.3
NA,FALSE,"Val-Ser","C8 H16 N2 O4","Full match","No results","Not the top hit","No results",-0.00013,-0.61,204.11088,205.11817,15.808,6246970.03014295,0,NA,NA,NA,"No matches found","DDA for preferred ion","[M+H]+1",5037636.15959795,5926973.10664068,5171034.20138322,6246970.03014295,4819191.61502594,2457196.07281452,4036476.15548254,3863691.22923019,4902366.17809353,4700066.48185514,2975117.22932697,2787459.68572127,1815333.20905811,719092.964923272,4336516.25294093,691829.867654871,2669562.56014381,658769.300801522,2729250.81961221,671058.117534532,3181155.04494683,352366.505193402,5037636.15959795,5926973.10664068,5171034.20138322,6246970.03014295,4819191.61502594,2457196.07281452,4036476.15548254,3863691.22923019,4902366.17809353,4700066.48185514,2975117.22932697,2787459.68572127,1815333.20905811,719092.964923272,4336516.25294093,691829.867654871,2669562.56014381,658769.300801522,2729250.81961221,671058.117534532,3181155.04494683,352366.505193402,8.9,9.5,10,8.9,9.5,8.6,8.9,8.9,9.5,9.5,9.5,8.6,9.1,7.7,8.9,7.7,7.5,8.3,9.1,7.2,9.5,6.6
NA,FALSE,"val lys isomer","C11 H23 N3 O3","Full match","No results","Partial match","Full match",-0.00035,-1.43,245.17359,246.18087,20.437,14272150.7956339,0,NA,NA,NA,"Single match found","No MS2","[M+H]+1",5063649.66487409,5247133.61308552,7658761.93665273,7315619.96267181,5683412.65997529,5747530.16347233,5927251.37326142,5392586.05923782,6878214.18202265,5912644.32975457,6047748.82847162,4502352.55203367,4741520.15316697,2863043.48373361,6867022.01695647,4124866.84154062,14272150.7956339,3000218.67451022,6000183.48385149,3154222.54102628,6178651.09429732,2717855.31888559,5063649.66487409,5247133.61308552,7658761.93665273,7315619.96267181,5683412.65997529,5747530.16347233,5927251.37326142,5392586.05923782,6878214.18202265,5912644.32975457,6047748.82847162,4502352.55203367,4741520.15316697,2863043.48373361,6867022.01695647,4124866.84154062,14272150.7956339,3000218.67451022,6000183.48385149,3154222.54102628,6178651.09429732,2717855.31888559,9.5,8.9,9.5,9.5,9.5,9.5,7.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,8
