"tissue","raw.file","sequence.id","ion.mode","sample","cohort","timepoint","name","formula","medrt","medmz","ion.count"
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_pv_pos","posi","2M16","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,924257.69
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_pv_pos","posi","2M16","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,2520064.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_pv_pos","posi","2M16","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2490616
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_pv_pos","posi","2M16","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,3637481
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_pv_pos","posi","2M16","2","pv","L-Proline","C5H9NO2",12.675,117.074074,12303728
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_pv_pos","posi","2M16","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,622775.06
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_sys_sac_pos","posi","2M16","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,3662095.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_sys_sac_pos","posi","2M16","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,7654846.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_sys_sac_pos","posi","2M16","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,3189282
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_sys_sac_pos","posi","2M16","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,4996888
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_sys_sac_pos","posi","2M16","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,18618306
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M16_sys_sac_pos","posi","2M16","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,845800.69
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_pv_pos","posi","2M17","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,630035.31
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_pv_pos","posi","2M17","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,2653282.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_pv_pos","posi","2M17","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2040377.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_pv_pos","posi","2M17","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,3049953.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_pv_pos","posi","2M17","2","pv","L-Proline","C5H9NO2",12.675,117.074074,9526429
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_pv_pos","posi","2M17","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,645879.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_sys_sac_pos","posi","2M17","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,1711914.38
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_sys_sac_pos","posi","2M17","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,9707207
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_sys_sac_pos","posi","2M17","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,1859395
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_sys_sac_pos","posi","2M17","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,2938655.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_sys_sac_pos","posi","2M17","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,7041944
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M17_sys_sac_pos","posi","2M17","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,621132.31
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_pv_pos","posi","2M20","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,535108.69
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_pv_pos","posi","2M20","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,2582064
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_pv_pos","posi","2M20","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2334720.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_pv_pos","posi","2M20","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,3667677
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_pv_pos","posi","2M20","2","pv","L-Proline","C5H9NO2",12.675,117.074074,7013201.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_pv_pos","posi","2M20","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,613493.94
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_sys_sac_pos","posi","2M20","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,1577255.88
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_sys_sac_pos","posi","2M20","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,9664900
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_sys_sac_pos","posi","2M20","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,1626708
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_sys_sac_pos","posi","2M20","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,3160200.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_sys_sac_pos","posi","2M20","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,7178914.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M20_sys_sac_pos","posi","2M20","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,606750.06
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_pv_pos","posi","2M22","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,797725
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_pv_pos","posi","2M22","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,2423100.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_pv_pos","posi","2M22","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,1978817.38
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_pv_pos","posi","2M22","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,3205688.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_pv_pos","posi","2M22","2","pv","L-Proline","C5H9NO2",12.675,117.074074,8997209
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_pv_pos","posi","2M22","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,605437.06
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_sys_sac_pos","posi","2M22","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,1550126.38
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_sys_sac_pos","posi","2M22","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,10115412
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_sys_sac_pos","posi","2M22","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,1522403.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_sys_sac_pos","posi","2M22","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,2141828
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_sys_sac_pos","posi","2M22","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,6161953.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M22_sys_sac_pos","posi","2M22","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,621957.44
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_pv_pos","posi","2M23","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,938877.69
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_pv_pos","posi","2M23","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,3474269.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_pv_pos","posi","2M23","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2736845
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_pv_pos","posi","2M23","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,4287494
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_pv_pos","posi","2M23","2","pv","L-Proline","C5H9NO2",12.675,117.074074,13136901
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_pv_pos","posi","2M23","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,681501.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_sys_sac_pos","posi","2M23","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,3591674.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_sys_sac_pos","posi","2M23","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,5777742.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_sys_sac_pos","posi","2M23","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,2814240.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_sys_sac_pos","posi","2M23","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,5612816
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_sys_sac_pos","posi","2M23","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,21488072
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M23_sys_sac_pos","posi","2M23","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,789539.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_pv_pos","posi","2M26","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,511402.88
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_pv_pos","posi","2M26","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,2335709.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_pv_pos","posi","2M26","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2336662.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_pv_pos","posi","2M26","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,4562454.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_pv_pos","posi","2M26","2","pv","L-Proline","C5H9NO2",12.675,117.074074,14243757
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_pv_pos","posi","2M26","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,670989.56
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_sys_sac_pos","posi","2M26","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,2090411.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_sys_sac_pos","posi","2M26","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,11964575
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_sys_sac_pos","posi","2M26","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,2149664.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_sys_sac_pos","posi","2M26","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,4244929
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_sys_sac_pos","posi","2M26","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,11936929
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M26_sys_sac_pos","posi","2M26","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,672141.44
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_pv_pos","posi","2M31","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,595168.06
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_pv_pos","posi","2M31","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,3203560
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_pv_pos","posi","2M31","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,3571913.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_pv_pos","posi","2M31","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,5451039
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_pv_pos","posi","2M31","2","pv","L-Proline","C5H9NO2",12.675,117.074074,18370248
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_pv_pos","posi","2M31","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,618219.06
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_sys_sac_pos","posi","2M31","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,1525769.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_sys_sac_pos","posi","2M31","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,8564381
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_sys_sac_pos","posi","2M31","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,3015523.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_sys_sac_pos","posi","2M31","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,5299884.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_sys_sac_pos","posi","2M31","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,12730909
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M31_sys_sac_pos","posi","2M31","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,754746.81
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_pv_pos","posi","2M33","2","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,451546.72
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_pv_pos","posi","2M33","2","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,2670882.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_pv_pos","posi","2M33","2","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,1379428.88
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_pv_pos","posi","2M33","2","pv","L-Leucine","C6H13NO2",9.95,133.10022,2046594.12
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_pv_pos","posi","2M33","2","pv","L-Proline","C5H9NO2",12.675,117.074074,6562166.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_pv_pos","posi","2M33","2","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,660167.44
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_sys_sac_pos","posi","2M33","2","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,2909726.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_sys_sac_pos","posi","2M33","2","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,13994873
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_sys_sac_pos","posi","2M33","2","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,2976173.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_sys_sac_pos","posi","2M33","2","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,5492268
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_sys_sac_pos","posi","2M33","2","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,18937038
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","2M33_sys_sac_pos","posi","2M33","2","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,671195.62
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_pv_pos","posi","3M11","3","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,1545356.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_pv_pos","posi","3M11","3","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,8348286
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_pv_pos","posi","3M11","3","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2863635.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_pv_pos","posi","3M11","3","pv","L-Leucine","C6H13NO2",9.95,133.10022,4519638
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_pv_pos","posi","3M11","3","pv","L-Proline","C5H9NO2",12.675,117.074074,17311178
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_pv_pos","posi","3M11","3","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,677530.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_sys_sac_pos","posi","3M11","3","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,2354648.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_sys_sac_pos","posi","3M11","3","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,8345582.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_sys_sac_pos","posi","3M11","3","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,1794714.38
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_sys_sac_pos","posi","3M11","3","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,3286316.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_sys_sac_pos","posi","3M11","3","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,10068212
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M11_sys_sac_pos","posi","3M11","3","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,581468.19
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_pv_pos","posi","3M13","3","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,1049855.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_pv_pos","posi","3M13","3","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,7284784.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_pv_pos","posi","3M13","3","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2149133.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_pv_pos","posi","3M13","3","pv","L-Leucine","C6H13NO2",9.95,133.10022,4077757
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_pv_pos","posi","3M13","3","pv","L-Proline","C5H9NO2",12.675,117.074074,14508967
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_pv_pos","posi","3M13","3","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,655999.06
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_sys_sac_pos","posi","3M13","3","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,4304715.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_sys_sac_pos","posi","3M13","3","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,11888923
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_sys_sac_pos","posi","3M13","3","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,2498908.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_sys_sac_pos","posi","3M13","3","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,4854084.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_sys_sac_pos","posi","3M13","3","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,14181116
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M13_sys_sac_pos","posi","3M13","3","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,596407
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_pv_pos","posi","3M14","3","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,857063.81
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_pv_pos","posi","3M14","3","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,3791472.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_pv_pos","posi","3M14","3","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,1906085.62
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_pv_pos","posi","3M14","3","pv","L-Leucine","C6H13NO2",9.95,133.10022,2992648.75
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_pv_pos","posi","3M14","3","pv","L-Proline","C5H9NO2",12.675,117.074074,6961436.5
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_pv_pos","posi","3M14","3","pv","Valine-C13N15","C5H11NO2",11.912,124.099861,727632.69
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_sys_sac_pos","posi","3M14","3","sys_sac","D-Tryptophan","C11H12N2O2",9.524,206.101288,2756810
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_sys_sac_pos","posi","3M14","3","sys_sac","L-Glutamine","C5H10N2O3",14.493,148.073563,13618465
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_sys_sac_pos","posi","3M14","3","sys_sac","L-Isoleucine","C6H13NO2",10.493,133.105255,2140765
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_sys_sac_pos","posi","3M14","3","sys_sac","L-Leucine","C6H13NO2",9.95,133.10022,3423367
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_sys_sac_pos","posi","3M14","3","sys_sac","L-Proline","C5H9NO2",12.675,117.074074,11362997
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M14_sys_sac_pos","posi","3M14","3","sys_sac","Valine-C13N15","C5H11NO2",11.912,124.099861,754941.25
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M15_pv_pos","posi","3M15","3","pv","D-Tryptophan","C11H12N2O2",9.524,206.101288,1236244
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M15_pv_pos","posi","3M15","3","pv","L-Glutamine","C5H10N2O3",14.493,148.073563,10987215
"Serum","0100 and 0200 STD Compound List and Valine positive.csv","3M15_pv_pos","posi","3M15","3","pv","L-Isoleucine","C6H13NO2",10.493,133.105255,2507342.75
