"name","formula","ion.mode","source","mz","rt","Serum_1M10_pv","Serum_1M11_pv","Serum_1M1_pv","Serum_1M2_pv","Serum_1M4_pv","Serum_1M5_pv","Serum_1M6_pv","Serum_1M7_pv","Serum_1M9_pv","Serum_2M16_pv","Serum_2M16_sys_sac","Serum_2M17_pv","Serum_2M17_sys_sac","Serum_2M20_pv","Serum_2M20_sys_sac","Serum_2M22_pv","Serum_2M22_sys_sac","Serum_2M23_pv","Serum_2M23_sys_sac","Serum_2M26_pv","Serum_2M26_sys_sac","Serum_2M31_pv","Serum_2M31_sys_sac","Serum_2M33_pv","Serum_2M33_sys_sac","Serum_3M10_tp4","Serum_3M11_pv","Serum_3M11_sys_sac","Serum_3M11_tp4","Serum_3M12_tp4","Serum_3M13_pv","Serum_3M13_sys_sac","Serum_3M13_tp4","Serum_3M14_pv","Serum_3M14_sys_sac","Serum_3M14_tp4","Serum_3M15_pv","Serum_3M15_sys_sac","Serum_3M15_tp4","Serum_3M16_pv","Serum_3M16_tp4","Serum_3M17_pv","Serum_3M17_sys_sac","Serum_3M17_tp4","Serum_3M18_pv","Serum_3M18_sys_sac","Serum_3M18_tp4","Serum_3M19_tp4","Serum_3M1_pv","Serum_3M1_sys_sac","Serum_3M1_tp4","Serum_3M20_tp4","Serum_3M21_pv","Serum_3M21_sys_sac","Serum_3M21_tp4","Serum_3M22_tp4","Serum_3M23_tp4","Serum_3M24_tp4","Serum_3M25_tp4","Serum_3M26_pv","Serum_3M26_sys_sac","Serum_3M26_tp4","Serum_3M27_pv","Serum_3M27_sys_sac","Serum_3M27_tp4","Serum_3M28_pv","Serum_3M28_sys_sac","Serum_3M28_tp4","Serum_3M29_tp4","Serum_3M30_tp4","Serum_3M31_pv","Serum_3M31_sys_sac","Serum_3M31_tp4","Serum_3M32_tp4","Serum_3M33_pv","Serum_3M33_sys_sac","Serum_3M33_tp4","Serum_3M34_pv","Serum_3M34_sys_sac","Serum_3M34_tp4","Serum_3M35_tp4","Serum_3M36_tp4","Serum_3M37_pv","Serum_3M37_sys_sac","Serum_3M37_tp4","Serum_3M38_pv","Serum_3M38_sys_sac","Serum_3M38_tp4","Serum_3M39_pv","Serum_3M39_sys_sac","Serum_3M39_tp4","Serum_3M3_tp4","Serum_3M40_pv","Serum_3M40_sys_sac","Serum_3M40_tp4","Serum_3M4_pv","Serum_3M4_sys_sac","Serum_3M4_tp4","Serum_3M5_tp4","Serum_3M6_pv","Serum_3M6_sys_sac","Serum_3M6_tp4","Serum_3M7_pv","Serum_3M7_sys_sac","Serum_4M1_pv","Serum_4M2_pv","Serum_4M2_sys_sac","Serum_4M3_pv","Serum_4M3_sys_sac","Serum_4M4_pv","Serum_4M5_pv","Serum_4M5_sys_sac","Serum_5M10_pv","Serum_5M1_pv","Serum_5M2_pv","Serum_5M2_sys_sac","Serum_5M3_pv","Serum_5M3_sys_sac","Serum_5M4_pv","Serum_5M4_sys_sac","Serum_5M6_pv","Serum_5M6_sys_sac","Serum_5M7_pv","Serum_5M7_sys_sac","Serum_5M8_pv","Serum_5M8_sys_sac","Serum_5M9_pv","Serum_5M9_sys_sac"
"2,4-DIMETHYL-2-IMIDAZOLINE","C5H10N2","posi","CD",99.09172,7.656,6120609.59391262,7112262.54017943,1694205.56495166,6252373.48957958,1215986.08326971,1752533.73919638,6483938.23449198,4319701.9307885,3153521.05329614,3064064.14963699,8917571.31304846,1807956.08245809,2475100.12612274,3658187.50452691,36817425.823664,2673734.46294026,46738855.6755853,27677686.3497538,2889859.04555658,2396941.65563658,15805890.6102781,2499007.07620452,44526583.2465942,10792962.1928323,44108352.3535605,21275969.4178698,57782040.5457805,7901537.92971713,12736897.2041644,54403166.2740109,24162122.7505075,25515999.8932152,37759143.3827687,1782932.58496202,58700896.4731343,44549881.6266389,12442316.0702107,40966606.6916284,11688796.0953102,983058.416933876,2230855.26325055,3364709.56020353,86994950.4553275,41950869.2616943,1663477.6812877,33853034.2687553,38572871.4262494,2100079.119961,37714554.1130156,54757226.5486055,23351431.1526848,2029003.62267123,1949201.04104204,82991561.2152357,8164987.08970399,4123654.38714204,21953723.6463227,72231185.1517936,45971135.4875955,20854340.0177943,144116784.811677,3600997.87306914,2013601.1945024,32343903.0510951,59494706.944807,19757436.9418604,20262835.1549703,31419877.4318652,24514566.9641319,49326559.129664,43576725.9282965,72383526.4259729,39387523.9636268,48072182.5569472,12558416.2669193,124403948.699026,2248535.95936225,51138691.4652797,9831741.84554168,3401441.75507397,1285797.33724769,3724593.15461999,25767725.4985028,28147106.4251215,54134764.8169909,40187069.923856,118022261.090327,38815879.8875337,1752566.71910731,37790816.7827478,88479695.7602684,5469767.882868,857843.136551331,10787950.6436383,24717917.8544434,2493437.42312433,39158841.1223108,2228155.42732724,57864766.3036254,56751964.2413005,21701074.8662088,37475103.8349304,8884664.44896673,46119183.4296672,697457.680341534,1271636.86238384,5175363.39558614,6170971.67618129,8029014.14507928,45758693.2451184,4151217.41387077,8172130.05684632,3113629.9390929,2047633.49476858,2927965.82635583,21078962.3322821,76816683.8665394,8687498.95390144,2639318.60999523,91487540.5954016,35482305.2857249,55880603.6283995,24972178.0318602,28356388.2807139,1060941.03535881,32487464.1625262,29123498.0935706,35512980.6032785
"2,4-Diamino-6-hydroxypyrimidine","C4H6N4O","posi","CD",127.23584,6.808,462563.367828379,557446.487152622,286901.979196424,549184.415447294,214279.811359542,1386138.79684144,478282.804765121,352365.720955075,360409.907606406,761452.199377697,484788.021793014,880319.89870754,5431173.9960022,1369072.22107895,3838000.27704417,1331551.45540936,122939.545230134,667870.984014353,2065935.45825084,5999852.37976389,1802416.53119445,1034316.80876391,980140.611939871,278353.806400316,8529636.84509264,1765474.77892195,5390876.14860935,3296356.06628685,1129692.54517834,2762036.24394978,5222736.45284687,6973203.48355676,512646.99130724,808883.81864667,2707085.35535194,585911.467098755,5087801.19623059,462207.275912618,395545.396112246,694496.554687251,889698.902250342,864589.574548408,4618990.8054852,7087323.65718922,258569.898914151,4246723.125311,1083454.56051042,787764.304719917,4518783.31944403,5443075.90224444,317453.6995193,283887.8964403,218156.1780578,3312272.42843732,3423995.08922798,321810.098374898,2058974.7426934,2512612.82059056,4173805.35279469,1108090.57924504,3962244.56256465,1061077.71200637,438223.325597662,1130783.76069488,3869655.49531654,4510716.59026807,7328009.08449352,5344977.77027455,6894183.08525299,10789301.1414896,3080965.05777305,3603820.73961751,3826943.3414042,1810898.78583874,24759.6908714246,3537852.86651023,274279.667234649,9361281.41751552,263925.576845154,1075024.18032278,1264328.32989206,215153.355092174,1601628.57581418,560848.951240428,5582330.39597607,4638552.78382753,10479034.3858396,1675402.67655885,411942.083812316,6220342.58549652,1807361.80664962,412215.185067072,2490830.34336836,10710109.8374317,5398888.71667887,110434.001786883,8812255.08294755,183053.136986477,1530434.3467552,1948957.82977004,1370323.24011096,2108308.93791492,1256681.046598,1753998.28618772,193747.327533984,200072.375157456,4057641.13090656,299865.861286244,3326419.2826479,8003114.508483,250985.370823628,698970.591936362,218545.469458769,1439889.22270294,218647.389265473,3763646.87475842,2500434.6607561,5649633.88505947,201270.502812576,7138973.36422494,4522508.14192655,3733417.40925771,2936568.02023452,613218.833271154,685330.621090198,6885370.05627298,2425053.20581469,4992826.05955906
"2,4-Diamino-6-nitrotoluene","C7H9N3O2","posi","CD",168.07672,7.625,457091.080806445,1181827.83307749,303551.457654038,443950.839276842,74008.9175158907,601518.792600315,493689.088073002,421203.307830993,750414.921246174,459766.341763821,1027706.68031364,713498.291858932,6094463.70774795,766517.265843633,2944232.36747696,1891666.48491228,6749004.65653845,909468.627539682,769418.541515946,2952208.53406424,2196707.31518154,551100.664615933,502681.890903745,969168.36945846,8760809.51563363,4813701.76524007,5256861.33351287,1965047.50372283,1441144.5453363,5271620.63768234,6130044.3878127,5923964.61300653,4990886.15510121,549942.676257246,3270493.2547608,7493616.59092661,658742.481245669,3023534.33135413,1677104.99416427,362946.285670898,528574.402959884,528125.716650869,7101926.7717014,2790242.90800754,483919.417317546,3999329.23884253,5347403.06767496,651878.096875517,4331112.57226886,768829.111944364,4601850.064088,349561.109808563,262709.453030483,9020520.10540934,5121075.44892849,706055.117843231,1840477.35276994,6087511.40181709,3956949.47250167,3161832.09961382,794728.655093807,430412.306548841,4348249.99634003,2571506.74188297,4591199.25061495,4664871.54729938,1525980.49303866,2319472.75865854,5990213.682507,4419890.01413188,4014598.41345976,921626.757648008,3372327.27176995,4390810.48794579,224944.773100227,5146846.87312939,332979.619022949,7954380.30217544,3539436.14052404,580131.12383244,1058338.34219579,138457.684924876,2033944.97357879,3168623.46084768,5136866.69608594,513923.312158393,2806313.98714942,4455652.09451987,805387.642642688,5688493.55932025,6567938.19856785,894111.213227112,1627888.45541534,1005870.26057178,4889046.5677013,864181.050796646,3113039.53886494,530313.285787962,3206992.4761873,5000872.52245436,1783849.64948393,3271255.44609257,1030889.65285152,599367.127346525,88549.1423574192,186951.858205247,3406618.94769392,749440.598517498,10131050.9652474,3880439.58830042,370887.249607046,712712.660387682,820702.176724071,586940.993023263,331160.099940544,7300994.00451418,6564440.2406706,2706211.72515614,205764.793926496,7281020.83010446,2646315.73565745,4822047.25192768,7533690.18570176,9395108.05815746,1410073.55363842,6638777.10186458,2841332.35023902,1258512.70958595
"2,4-Diaminobutanoic acid","C4H10N2O2","posi","CD",119.08157,6.828,270315.819719161,378121.968172211,427567.790520693,267452.841812045,2398387.41754438,367302.850599782,257800.104792381,829641.846952015,223771.579895144,652547.472257186,28409582.6537368,314476.73252037,186663164.010823,626229.510834679,109755020.011429,32962119.6873759,105428144.77915,32020805.6804318,42175474.9088548,358816615.884543,40062187.6158423,665221.658713304,84752084.3507816,460275.115485853,265917482.044783,228022804.162717,33959361.0600858,52313330.7917326,47351478.1850307,187212116.621329,132368428.310959,156507305.31959,198663965.15645,182783.33662634,402635167.908795,232539203.541758,31046063.8519004,12628082.1314027,2798352.55995425,2665038.47286558,7262060.29106203,604622.118829971,198939304.155427,109880883.485533,334178.700220437,87151221.5845398,112527510.732219,464896.778126095,234447941.230466,82396220.7102676,41261297.4909816,424018.213584687,161332.811437708,230662863.490791,122532025.44851,401157.019346971,92568086.666329,102018147.550234,83473583.7412058,78380337.4875015,446700877.92858,43027744.2156527,407618.411675629,432938327.046518,91230996.3656143,93676354.9087518,228276112.762458,225633600.460705,192149167.346487,123144505.68974,5037394.29266753,417118270.355977,67996432.7048232,147631922.566062,4037343.95071409,241956009.7231,602925.002528262,287062996.499831,74429260.4777132,42812496.16091,24550031.5516031,57586590.8825696,136403252.343563,102050339.410385,89229784.5485382,20848207.0326599,29849155.4487336,204206428.813879,205199.779440447,335882230.68633,120699939.6523,1997993.80148694,3194464.48319949,149871287.176128,146930559.535072,8442479.03618551,227088544.351426,3549135.00984211,219125363.736476,61236864.2945275,11876086.3893601,359366798.891181,15657629.3980601,53646391.5815666,3281212.00934403,5368789.52780787,58044982.56639,2219912.97645986,225574733.444693,153959901.443709,676798.405860229,694010.145163163,362108.138665468,84820345.4130641,331515.876566311,152621422.350326,261408015.89521,315645395.733901,358917.340850194,238315678.283174,80424671.0547748,351630441.026223,201676944.586307,223577784.612987,323521.642627759,215304402.735489,216711781.942102,160837521.684094
"2,4-Diaminotoluene","C7H10N2","posi","CD",123.09176,7.317,613831.541641295,864802.231735837,623954.607716961,1943409.91960835,90505.8990846255,596698.536997034,1975907.26814352,661009.335528025,586073.892078677,645305.191441594,344761.937125143,1782252.14580817,17535262.9486255,807558.661932452,8689864.98897173,1251174.35664301,14979709.6871479,4270558.7567691,3169152.5095559,28864326.7378823,6682762.49422258,786015.912840139,12682068.5092189,364505.995051827,9640437.38020922,6499128.50530721,6376183.07912835,1044658.73904319,3573600.22546987,5876420.37332466,10829101.5144504,1700723.43671422,14574132.839909,764537.556841437,3023027.51240664,2369746.74826148,4909744.46015044,2506005.14556661,1741554.34224649,1986143.08015125,1399163.15330429,1811512.74102598,20155281.6033472,19902893.0337688,673947.422420348,7810071.43746382,11509140.0075362,1089035.66982081,8834819.60788216,7602280.30292725,8233065.71481701,567388.538221254,1337484.22965878,28647498.3160168,16874443.7026044,1424717.30777185,9677178.35326378,11453359.2900738,11171552.3515611,6036398.13136803,37471418.3672651,1277533.65474455,657438.838330856,15474919.3181441,7557124.00195333,959719.324040682,1056735.08946855,6931313.54250923,21225728.1605845,13176877.0793847,14660075.1689507,10380985.3465043,9638573.62083112,2333642.43928337,744067.853341329,11964354.9143715,765955.500798667,28166687.9733054,6523064.67516898,859468.694710062,871465.851069732,70672.6833374575,6752373.16466242,6834740.61031645,1110995.37918588,3670715.07654407,30543873.6885739,14030282.5928174,715872.483445441,15672269.9991695,12840009.9533386,2206939.24221603,130254.114701834,9594833.13395656,8302551.60803232,450250.400879353,25125326.8408029,823244.546565617,10515249.3459804,14269664.9554258,455697.08105555,14266019.8862782,362945.699236926,5354229.72296256,216810.431979717,849052.013335186,9892134.4591371,2299470.59174146,1653938.44898139,539317.80050376,675657.945246612,1284287.73099166,553455.121859329,568187.995256987,594191.432994993,8627546.14378322,19958897.3419065,16277172.2137305,602938.964941232,10689072.4901822,12347810.5931105,41741273.3429016,18911670.4275753,25335909.639435,1131549.80901424,11795980.2739438,19048779.230438,1400984.6662816
"2,4-Dimethylbenzaldehyde","C9H10O","posi","CD",117.06977,2.539,440107.077756755,2935247.26758912,672383.190410615,2214226.69051062,2853695.49290287,1802099.68850589,3787297.35877699,1974394.38608429,1524030.26492965,2406489.27684935,307219.074866875,7214836.26537162,1408130.72697492,4387196.7474737,1989285.82395495,4871151.45842535,2028402.18685371,53528.893480985,2261914.74230166,1470160.35030241,2463341.28139892,5221225.01809579,2006336.18080817,2463692.88336836,1953669.06128633,1263355.18652981,3655204.40701181,5421784.80767411,1833975.84404468,2569355.7446421,3053484.71157944,2949180.99661978,187681.509779237,3119566.94770451,2184326.51930835,1093104.15646733,5000526.01683919,661127.644863992,1801163.16315179,3429516.78258343,2402485.11090656,1891733.82374314,4616830.81266936,2191195.61277954,1499843.25092171,61000.8482019002,2303818.85255368,2737680.46034509,2689943.00263006,3721107.16816037,2877997.4253308,1481869.33666859,3199017.99540102,2263520.3040038,1956835.83864159,4140957.97060421,1002334.43915888,2005095.31030687,1474316.76193253,419386.920186236,1218456.45355887,1107750.21987621,314543.005715997,2163776.7554277,3035281.54516573,762418.772184487,1265806.9595295,2197589.82676574,3420956.43252077,2364301.98266468,5727313.515401,3453697.20574485,1954124.79980429,1004438.86701572,4281761.11399069,2477998.78272629,1579150.05749766,3302402.91849661,4957842.94813454,1370405.25074279,3155859.00131879,1267872.06333285,4087777.16898687,2564930.28673954,2021933.00315396,2824566.76616951,2397696.59130115,256633.002131806,341679.992432931,2295428.8923589,2642158.27368818,3418350.8548526,3658549.80898534,3812352.39886939,1977957.97918406,5494920.47836575,1712150.9709036,2080210.37182463,2336820.42036138,5076539.57028562,68637.621855356,1179391.86193232,4047087.22305408,4387998.99423211,1274536.86475278,1490814.8847795,3485824.15194311,2282472.00661443,3996186.83410357,3271470.07973955,3406987.91192902,3364292.77413431,2936295.68627607,45146.6867480886,68508.8261157279,3364963.28821295,4091941.13955972,3961645.26112501,1959510.11870234,3043098.71386385,3881248.98167304,3325483.0509909,3666400.53201502,2659911.2354327,6359142.49976815,2024424.42712165,3114360.99164359,1447458.52200664
"2,4-Dinitrotoluene","C7H6N2O4","posi","CD",183.03996,14.721,82440.2711620898,44494.5154430612,615714.397483272,43925.83795232,20456.415525732,102619.373096012,43190.4560011822,77393.0927195369,46660.001875986,5024.69277033176,16007.8180696209,10430.0047591531,6180.1649199009,64580.9240440448,6748.90122938253,41008.5725200642,5915.25939771762,113267.868216668,11668.295596373,5248.87953458757,4286.04891181634,114611.9249438,6018.467264648,134796.542723898,5355.9762929574,15996.9934339498,5871.75708936646,5647.60897221537,19371.3703519526,36300.1868966645,4699.21307134932,4304.81922579406,23213.1035727108,27687.3782892009,4701.93004545474,9140.85725348088,10567.0446335768,5788.00815827522,26986.721709458,14080.8054790415,16935.3221898036,74685.2011113809,17423.4654639695,27405.6837602461,44523.2248887672,3389.65129294336,18072.685020681,24632.5541590136,12709.276123634,3860.72623600602,15224.5820862748,16137.370504608,81839.1541710574,4279.36031530357,20008.7010954654,5323.56760418367,20130.3580440725,21354.4663427985,21380.6114017561,28288.7066921663,5316.83379414614,15351.0707494168,68583.6173447602,13121.0480753052,9615.16261767402,55874.865432197,5800.96803182656,19348.1210065601,4574.42442701554,25500.3473387869,74421.4568081503,30681.9406362227,22425.0029232549,19575.1366396535,42255.9605590041,4299.66087243395,26076.9846767835,87708.1564122816,3839.6475650416,22661.3313697769,25496.9650334607,7678.50552440661,169522.705010117,17727.5380390019,24249.1098272176,54207.2282517629,6314.83365064768,14249.7026252313,76892.229853493,9378.78736046345,20584.3672023389,72406.1277431088,100306.948937677,4853.97424953556,5606.12670711177,7893.58605534062,5227.40511368959,55181.1526106961,14153.5232473729,16449.7391016424,4378.12054728266,16144.8011918754,5485.85932921929,4219.93008603466,108822.690439133,109880.442990944,15319.4225877854,39998.0384584147,7297.56141641489,13681.371761663,5062.81646219995,4677.962790583,53562.046376448,70537.0350820434,27301.2780352154,9163.07198021519,19516.4206163726,5100.17056376687,33790.823657168,11222.4188009002,80473.7432268181,8640.54278087223,87624.8108351965,6461.3443490122,79377.9028437738,5575.39475869003,37007.7849121093,23084.5530914458
"2,4-Pentadiynylbenzene","C11H8","posi","CD",141.06975,2.564,254099.936807411,764314.781477702,467701.597649778,96525.6159130446,766949.936055249,537940.808933035,720356.479840347,337412.34177473,525444.859525259,296256.434783845,224824.30755975,424394.089759549,417933.507871838,158454.141100012,363406.66731902,758706.151490659,273343.560120962,198216.491903477,130172.229179129,664467.181768795,445013.869345648,575891.640388313,98108.0696316194,247181.981920645,64512.1958556776,128445.248069023,481729.352139808,213544.804926719,170146.306884271,143332.969827861,494197.704572196,723732.37256407,332097.75412032,175480.631253389,378426.944491358,126363.338860292,632140.299898586,107590.594368432,279727.8332793,490797.383616014,125091.108926264,147512.32776482,487821.7031227,182909.042628171,224210.047011668,98572.0844007426,146485.167693155,154203.551826625,470032.218019462,260203.177489526,114572.900821622,104008.462113363,472301.680892737,108156.046417242,95576.9293309016,144964.562221421,409379.099484481,122819.212409298,130720.032651958,545698.782776685,488370.000795042,120986.037548981,592306.447515483,110125.379356416,691951.348435279,731907.229758304,494718.995457986,137469.338818822,109490.5110884,167507.297391456,879923.013370248,98821.1757505439,137779.413448647,95231.734367068,744570.147301218,80957.0231470013,112288.130844071,614412.603694959,870247.52954673,381416.564697054,81538.4191182324,173501.812500362,389353.760523751,467815.944738997,40498.5717319774,867211.537457902,91839.2265952818,559671.375921695,342390.424557599,124263.191448251,105905.562099014,156546.240537578,616736.188013372,573348.81246064,26570.1929311874,441946.39022759,141794.476119604,175552.297600954,118313.265914613,46700.106315363,237916.915423219,265639.892092701,302441.868894503,106068.665585288,236124.623792594,326361.944897524,127876.29679607,539640.341727725,331144.657643111,302221.345540658,106809.875681436,105714.747434179,140917.635508202,1479190.0236733,1589775.44287657,257774.705385225,84197.2774463462,96143.4730504826,517393.980294258,118445.51665243,714279.150681415,83055.4664029216,696843.233287002,88304.9229951199,544324.462866937,155778.482145983,563630.923012676,121711.669323651
"2,4-dihydroxyheptadec-16-enyl acetate","C19H36O4","posi","CD",370.29503,3.91,2107813.75626696,2059918.09086286,73988.2376467552,2943312.22083893,5868064.11187949,2399515.94118645,588065.220776944,3960854.32132572,1769392.49142383,3862947.30788838,3779805.32099357,57325.4231163091,4293284.01902925,5142697.34725351,2465950.66090769,1590376.3992507,1480527.18927742,3532158.30055533,1459115.70682659,2660513.61424787,119175.319255521,8887.82128558375,479731.228368711,957788.999904749,1455281.96055187,4677661.45662628,323134.148239193,10002.9092514615,5550263.76359296,5715522.66803271,16322.2228100494,963835.190388831,4229718.97824623,10610324.5582361,3327808.80102598,6477244.04289142,1281620.04334429,3042887.86007309,4023670.36551032,598841.327525668,646618.338311444,1022831.9160424,550951.151202022,3571059.6169304,1058301.83464239,786498.072331604,3513537.31712472,5942393.57728464,75157.3066657978,250296.531377316,17062.96102791,7629057.48454116,14825.7176069161,618068.270304626,1131573.81834558,773557.173024457,1137890.10583204,213084.725886727,268060.749988595,3523710.98070328,144558.590213559,249911.948521089,532602.762499669,994205.188920942,4426464.74843965,305853.184951543,99002.7233427078,1029176.73607926,5564077.22540755,3853055.93585945,25043.3665690156,1006776.65549251,1004396.57933095,3874587.88009995,25073.302586578,1169940.62568087,1134791.42805693,10050.0176484702,1377382.3529899,707478.193119146,242332.697792168,936031.990562434,2077204.81840077,1465451.74788265,536166.189955892,20232.3063932531,259247.045545348,275898.959438961,2314740.2696861,1413328.45939821,1088698.98483867,115392.768294301,433905.079063897,1361176.35952918,842800.831859325,33405.9612526601,23161.6896080039,205904.439836602,139338.228323602,1876173.93468985,5438537.67021541,4111877.19949461,332169.861064687,582435.035735715,1090897.40103649,346131.35491839,470893.70063615,69677.5850957126,37602.2373222898,16166.7425230632,14886.7067668243,1638900.96670691,18968.307981652,102123.269719579,2587967.05833009,602338.301406858,696468.906508118,1968670.7911862,3666711.27904879,2299158.10914473,18591.7471647198,288217.002133975,1450348.46986718,3015166.9863267,2065290.17673723,2201579.55573341,1531381.68788258,27620.0217015336
"2,5,11,14,20,23,29,32-Octamethyl-4,13,22,31,37,38,39,40-octaoxapentacyclo[32.2.1.1~7,10~.1~16,19~.1~25,28~]tetracontane-3,12,21,30-tetrone","C40H64O12","posi","CD",737.45104,3.757,7812.03721074849,8916.91378867293,16456.2775355834,47472.6640079007,81046.0140027195,38839.7148485119,36498.5397451632,27142.1009175208,28805.9626133939,77094.930401906,48207.1234200016,6338.45972691747,94739.9922836288,14113.2135101668,71391.4109782615,105569.840703423,8268.42240328268,6241.43219142449,23176.7325105782,31526.4893791854,60922.1562651472,6144.88966880391,99296.7189848617,5594.49225822037,64998.5152112692,92616.1495149827,70698.9632187099,34510.3774365413,80103.3774949376,12777.0823010952,6196.34207396441,39053.006164135,87971.4473907063,51246.9651880718,70501.2517723268,31952.2854016526,67738.6444433308,42470.644304186,122457.491834235,71207.0993734824,37473.2668907518,50758.5925599639,53622.4431111459,14989.3442931906,45305.8405841319,32488.3757943513,259503.17057269,670443.011978675,74322.6394796558,89615.6914187566,413614.1236126,76300.6042397285,7570.83907902999,20561.1827208374,160454.09417871,96115.0419755807,69150.7028868272,129037.107131527,104059.951036098,84854.0097582023,79126.9415736993,100471.398678139,26745.8283139552,87106.5363041796,379519.387349304,138312.50782509,107463.877678457,135620.931730067,129232.086419784,126668.56859621,7190.47919520511,81078.0891187142,96574.0096263189,63654.7841904755,15961.5961409076,79322.6402435336,122307.504715034,14412.0057220487,93200.1216927848,86504.8668429492,88964.5933409196,82017.2199581977,17525.7715972137,84273.9016782403,82490.2227620415,9717.88459792449,109814.162188217,101959.649939117,76793.257884665,84168.1794157456,66198.1850285022,56463.3490310518,3679.19271095018,94208.848823188,69127.95453153,4497.56524349781,28270.9008586115,34261.5971243286,123291.746538966,15593.7999215635,7256.51065869179,20176.2698818145,12055.4493467768,104198.411718008,7694.89395150894,6403.75230050549,105045.460099402,67171.0332141557,88037.6403275252,8214.03164542769,4894.5640389604,86746.5224117206,7171.67604915374,11362.3404448993,31121.2535897111,20162.3464399573,38806.8594360527,76584.9442395949,53003.464538805,47544.0793608443,7988.91982857007,105483.663429269,71042.4344847411,106768.423391101,11132.542013233,67404.0040959586,125877.579455838,17460.3524877366
"2,5-Diethyl-3,6-dimethylpyrazine","C10H16N2","posi","CD",370.295,3.9,2386660.82281639,2059918.09086286,91977.7918082362,3463904.89441974,5868064.11187949,2811160.88395953,4792749.78487108,3960854.32132572,1769392.49142383,4310157.96179549,3779805.32099357,57325.4231163091,5538477.19681842,5142697.34725351,2465950.6609077,5760212.49715483,1480527.18927742,3532158.30055533,1459115.70682659,2660513.61424787,1378498.49008993,25510.5939682661,487147.30477553,957788.999904749,1455281.96055187,2072169.52408572,349063.529008369,16494.3689561708,2653730.86599604,5715522.66803271,20290.8199900368,963835.190388831,4229718.97824623,10610324.5582361,3327808.80102598,7962608.11330132,1389183.44037795,3360784.33353976,187285.465304744,690571.820921424,646618.338311444,1019830.06898032,550951.151202022,3571059.6169304,1058301.83464239,786498.072331604,3513537.31712472,5942393.57728464,2960565.91257277,250296.531377316,21675.7892149808,436309.512522504,18430.4534183811,618068.270304626,1159890.21136503,773557.173024457,1137890.10583204,213084.725886727,1109001.22048679,3523710.98070328,144558.590213559,249911.948521089,4244256.58286063,1006573.3448163,27459.2770460028,3184055.04306442,99002.7233427078,1029176.73607926,5564077.22540755,4827907.96540514,25140.7873056111,1201415.20242098,1004396.57933095,3874587.88009995,1981158.64425497,1169940.62568087,1160264.60099352,819740.104119066,1377382.3529899,707478.193119146,242332.697792168,954089.615750965,2077204.81840077,1846084.55822358,1752143.84942601,25151.6041525918,264271.748582416,277835.495309665,2314740.2696861,1630717.97298115,1088698.98483867,95397.9430536199,27597.5508557419,1374292.3695829,852203.277489525,33582.5695178711,25799.0535185104,205904.439836602,139338.228323602,1876173.93468985,822221.441577355,4111877.19949461,332169.861064687,592424.942909887,1287497.05158851,346131.35491839,478796.379117022,69677.5850957126,521368.351027925,20097.53611247,15724.6374675174,2316826.55127317,18968.307981652,414644.249154125,2587967.05833009,602338.301406858,696468.906508118,1968670.7911862,3943447.96544601,2299158.10914473,57697.7771345681,1465352.85449342,1450348.46986718,3015166.9863267,2065290.17673723,2201579.55573341,1756809.98325066,32188.5760086879
"2,5-Dimethylpyrazine","C6H8N2","posi","CD",109.07605,6.507,1230731.00956952,1908856.42759209,1178819.41576844,1481801.21640642,425585.822523264,1135114.07878371,1259019.72108617,1438733.30741285,1027533.90107924,1203759.66857482,11816797.924017,1440876.12049739,52710257.6463325,1490085.96694077,40789808.3354431,6811846.52645741,34364482.4973412,14851100.623171,7846315.54817913,120953706.363268,24818939.2584109,1481583.88253894,45682583.5167369,1455659.17129432,89187846.1208006,35499552.9505172,3318748.67678874,19606068.719703,7649630.59176525,60493661.2179147,82068466.6725458,36290754.695297,42030029.4307663,1244951.87097693,100834269.351765,25728633.6167302,32922700.242739,34628620.0879642,6321145.45836137,2008299.56309188,2322715.55517283,1370897.06186791,49792859.2328202,84056316.5773535,1191575.75610656,27868642.6523432,55308953.8126015,3230208.29878894,46849682.2587935,41773893.6946806,61552518.9395519,1096989.97020268,1058407.62619623,132604839.503346,43967595.2160108,1495309.40127647,32849745.2383249,8786680.30908889,35982540.7456372,21620199.0476165,162531803.791071,13948010.8086513,1352435.75738298,107287791.40007,29101256.9092173,40813424.4936789,71386347.2582166,69424222.6719985,44721633.561185,41148922.7983782,26516763.8777701,102942503.460665,44656608.143318,50705387.3474264,4457067.50172189,100127719.713405,1146452.18668117,67032610.4903516,17658219.8049131,15874289.7273221,2217787.33378808,13434758.7971248,27833970.461157,19539621.069754,43464384.6377767,7567837.33659683,55713092.8315779,44510165.7076421,1418343.05016394,51584021.4612716,92220570.078731,11148175.0987432,348524.858867858,111518121.786073,57002612.2626616,6108454.77324083,116354198.707436,2366581.09870181,944992.77437296,22624957.1320322,14772404.2787042,47747839.8048994,7178642.02432166,17925111.9993574,675673.950898835,2125590.57864043,42302202.7074288,2260348.73032356,7532302.73498381,26223677.1000239,1840295.24994978,2770555.14744121,1035378.00728953,15715440.4590833,1096467.68515962,5003792.54606132,86816315.1182929,41392138.3924734,1072519.81439461,72819524.1444085,12957807.7867902,175258889.552317,63316926.8628677,99920413.5024794,3270632.40035223,45230538.7847413,54296885.7554273,52239623.9235256
